"Alan Trammell","Andre Dawson","Bert Blyleven","Dale Murphy","Dave Parker","Don Mattingly","Harold Baines","Jack Morris","Jim Rice","Lee Smith","Mark McGwire","Rickey Henderson","Tim Raines","Tommy John","timestamp"
"Bill Conlin","0","1","1","0","0","0","0","1","1","0","0","1","0","0","0"
"Bob Hille","1","1","0","0","0","0","0","0","1","1","0","1","0","0","0"
"Bob Ryan","0","1","1","0","0","0","0","1","1","0","0","1","0","0","0"
"Bob Verdi","0","1","1","0","0","0","0","1","1","1","0","1","0","0","0"
"Brendan Roberts","0","0","1","0","0","0","0","0","0","1","1","1","1","0","0"
"Bruce Jenkins","0","0","0","0","0","1","0","1","1","0","1","1","0","0","0"
"Buster Olney","0","1","0","0","0","0","0","1","1","0","1","1","0","0","0"
"Carl Steward","0","1","1","0","0","0","0","1","0","0","1","1","1","0","0"
"Carter Gaddis","0","0","1","1","0","0","0","0","1","1","0","1","0","1","0"
"Chris Elsburry","0","1","1","0","0","0","0","1","1","1","0","1","0","1","0"
"Corky Simpson","0","1","1","0","0","1","0","0","0","0","0","0","0","1","0"
"Dan Graziano","0","0","1","0","0","0","0","1","0","0","0","1","1","0","0"
"Dan McGrath","0","1","1","0","0","0","0","1","1","0","0","1","0","0","0"
"Dave Kindred","0","1","0","1","0","0","0","0","1","1","1","1","0","0","0"
"Dave Van Dyck","0","1","0","0","0","0","0","0","0","1","0","1","0","1","0"
"Filip Bondy","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Fred Mitchell","0","1","1","0","0","0","0","1","1","1","0","1","1","1","0"
"Garry Brown","0","1","1","0","0","0","0","1","1","0","0","1","0","1","0"
"Hal McCoy","0","1","1","0","0","0","0","0","1","0","0","1","1","0","0"
"Howard Bryant","0","1","1","0","0","0","0","0","1","0","0","1","0","0","0"
"Jack McCaffery","0","1","1","0","0","0","0","1","1","1","1","1","0","1","0"
"Jayson Stark","0","1","1","1","0","0","0","1","1","0","1","1","1","0","0"
"Jeff Jacobs","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0"
"Jerry Crasnick","0","1","1","0","0","0","0","1","1","0","0","1","1","0","0"
"Jim Caple","1","1","1","0","1","0","0","1","1","0","1","1","0","0","0"
"Jim Capozzi","0","1","1","0","0","0","0","0","0","0","0","1","0","1","0"
"Jim Hawkins","0","1","1","0","0","0","0","0","1","0","0","1","0","0","0"
"Jim Salisbury","0","1","1","0","0","0","0","1","1","1","0","1","1","0","0"
"Joe Henderson","0","1","1","0","0","0","0","1","1","1","0","1","1","1","0"
"Joe Posnanski","1","0","1","1","0","0","0","0","0","0","1","1","1","1","0"
"John Perrotto","0","1","1","0","1","0","1","0","0","0","0","1","1","0","0"
"Jose de Jesus Ortiz","0","1","0","1","0","0","0","0","1","0","0","1","0","1","0"
"Ken Davidoff","1","0","1","0","0","0","0","0","0","0","0","1","1","0","0"
"Ken Rosenthal","1","1","1","0","0","0","0","0","1","1","0","1","1","0","0"
"Marc Topkin","0","1","0","0","0","0","0","0","1","0","1","1","1","0","0"
"Mark Gonzales","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0"
"Michael Knisley","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0"
"Mike Nadel","0","1","0","0","0","0","0","1","1","0","0","1","0","0","0"
"Murray Chass","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0"
"Paul Sullivan","0","1","0","0","0","0","1","0","0","1","0","1","1","0","0"
"Pedro Gomez","1","1","0","0","1","0","0","0","1","1","0","1","0","0","0"
"Peter Gammons","1","0","1","0","0","0","0","1","1","0","0","1","1","0","0"
"Phil Arvia","0","1","1","0","0","0","0","1","1","1","0","1","0","0","0"
"Phil Hersh","1","1","0","0","0","1","0","0","1","1","0","1","0","0","0"
"Phil Pepe","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0"
"Phil Rogers","1","1","1","0","0","0","1","1","1","0","0","1","1","0","0"
"Pierre Ladouceur","0","1","1","0","0","0","0","0","1","1","0","1","1","0","0"
"Richard Griffen","0","1","0","0","0","0","0","1","1","0","0","1","1","0","0"
"Rick Telander","0","1","0","0","0","0","0","0","1","1","0","1","0","1","0"
"Scott Miller","1","1","1","0","0","0","0","1","1","0","0","1","1","0","0"
"Sean Hogan","0","1","1","0","0","0","0","0","1","0","0","1","0","0","0"
"Steve Aschburner","1","1","1","0","0","0","0","1","0","0","0","1","0","0","0"
"Steve Buckley","0","0","1","0","0","0","0","1","1","0","0","1","0","0","0"
"Steve Wilmoth","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0"
"TJ Quinn","0","1","1","1","0","0","0","1","1","0","0","1","1","0","0"
"TR Sullivan","0","1","1","0","0","0","0","1","1","0","1","1","1","0","0"
"Teddy Greenstein","0","1","1","0","0","1","0","0","1","1","0","1","0","0","0"
"Tim Cowlishaw","0","1","1","0","0","0","0","0","1","0","0","1","1","0","0"
"Tim Kurkjian","1","1","1","0","0","0","0","1","1","1","1","1","1","0","0"
"Tracy Ringolsby","1","0","1","0","0","0","0","1","0","1","0","1","0","0","0"
