"Alan Trammell","Andre Dawson","Barry Larkin","Bert Blyleven","Dale Murphy","Dave Parker","Don Mattingly","Edgar Martinez","Fred McGriff","Harold Baines","Jack Morris","Lee Smith","Mark McGwire","Roberto Alomar","Robin Ventura","Tim Raines","timestamp"
"Barry Bloom","1","1","0","1","0","0","0","1","1","0","1","1","1","1","1","0","0"
"Bernie Miklasz","1","1","1","1","0","0","0","1","0","0","0","1","1","1","0","1","0"
"Bill Conlin","0","1","0","1","0","0","0","1","1","0","1","0","0","1","0","0","0"
"Bill Kennedy","0","1","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0"
"Bill Madden","0","1","1","1","0","0","0","1","0","0","1","0","0","1","0","0","0"
"Bob Klapisch","0","1","1","1","0","0","0","0","0","0","1","0","0","1","0","1","0"
"Bob Markus","0","1","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0"
"Bob Nightengale","0","1","0","1","0","0","0","0","1","0","1","0","0","1","0","0","0"
"Bob Smizik","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"Brendan Roberts","0","0","1","1","0","0","0","0","0","0","0","1","1","1","0","1","0"
"Bruce Jenkins","0","0","1","0","0","1","1","1","0","0","1","0","1","1","0","0","0"
"Bruce Miles","1","1","1","1","0","0","0","1","0","0","1","1","0","1","0","1","0"
"Buster Olney","0","1","1","0","0","0","0","0","0","0","1","0","1","1","0","1","0"
"Carl Steward","0","1","0","1","0","0","0","0","0","0","1","1","1","1","0","1","0"
"Carrie Muskat","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Charley Waters","1","0","1","1","0","0","0","1","0","0","1","0","0","1","0","1","0"
"Chris Haft","0","1","1","1","1","0","0","0","0","0","1","1","0","1","0","0","0"
"Dan Coughlin","0","1","0","1","0","1","0","0","0","1","0","1","0","1","0","0","0"
"Dan Graziano","0","0","1","1","0","0","0","0","0","0","1","0","0","1","0","1","0"
"Dan Shaughnessy","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0"
"Danny Knobler","0","1","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0"
"Dave Van Dyke","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0"
"Drew Olsen","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0"
"Earl Bloom","0","1","1","1","0","0","0","1","0","0","0","1","1","1","0","1","0"
"Ed Price","0","0","0","1","0","0","0","0","1","0","1","1","0","1","0","1","0"
"Fred Mitchell","0","1","1","1","0","0","0","0","1","0","1","1","0","1","0","1","0"
"Gordon Edes","1","0","1","1","0","0","0","1","1","1","0","1","1","1","0","1","0"
"Hal Bodley","0","1","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0"
"Hal McCoy","0","1","1","1","0","0","0","1","0","0","0","1","0","0","0","0","0"
"Howard Bryant","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jack Curry","0","1","1","1","0","0","0","1","0","0","0","0","0","1","0","1","0"
"Jay Mariotti","0","1","1","1","0","0","0","0","0","1","0","0","0","1","0","0","0"
"Jayson Stark","0","1","1","1","1","0","0","1","1","0","1","0","1","1","0","1","0"
"Jeff Blair","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0"
"Jeff Fletcher","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","1","0"
"Jeff Schultz","0","1","0","1","1","1","0","0","1","0","1","0","0","0","0","0","0"
"Jerry Crasnick","0","1","1","1","0","0","0","1","1","0","0","1","1","1","0","1","0"
"Jim Caple","1","1","1","1","0","0","0","1","1","0","1","0","1","1","0","1","0"
"Jim Street","0","1","1","1","0","0","0","1","0","0","1","0","0","1","0","1","0"
"Joe Capozzi","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Joe Henderson","0","0","1","0","0","0","0","1","1","0","0","0","0","1","0","0","0"
"Joe McGrath","1","1","1","1","1","0","0","1","1","0","0","1","0","1","0","1","0"
"Joe Posnanski","1","0","1","1","1","0","0","1","0","0","0","0","1","1","0","1","0"
"Joel Sherman","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","1","0"
"John Hickey","0","1","0","1","1","1","0","1","0","0","1","1","1","1","0","0","0"
"John Perotto","0","1","1","1","0","1","1","1","0","0","0","0","1","1","0","0","0"
