"Alan Trammell","BJ Surhoff","Barry Larkin","Bert Blyleven","Carlos Baerga","Dale Murphy","Dave Parker","Don Mattingly","Edgar Martinez","Fred McGriff","Harold Baines","Jack Morris","Jeff Bagwell","John Franco","John Olerud","Juan Gonzalez","Kevin Brown","Larry Walker","Lee Smith","Mark McGwire","Rafael Palmeiro","Roberto Alomar","Tim Raines","Tino Martinez","timestamp"
"""Bruce """"Its Not The Hall of Stats"""" Miles""","1","0","1","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","1","1","0","0"
"""Danny """"Pure Players Only"""" Knobler""","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Adam Rubin","0","0","1","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0"
"Andrew Baggarly","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"Barry Bloom","1","0","0","1","0","0","0","0","1","1","0","1","0","0","0","0","0","0","1","1","1","1","1","0","0"
"Barry Stanton","0","1","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Bill Conlin","0","0","1","1","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","1","0","0","0"
"Bill Kennedy","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0"
"Bill Windler","1","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1","0","0"
"Bob Brookover","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bob Klapisch","1","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0"
"Bob Nightengale","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0"
"Bob Ryan","0","0","1","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0"
"Bob Sansevere","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0"
"Brendan Roberts","0","0","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","1","1","1","0","0"
"Brian Heyman","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Buster Olney","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1","1","0","0"
"Carl Steward","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","1","0","0","0"
"Carrie Muskat","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Charley Walters","0","0","1","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0"
"Chaz Scoggins","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","1","1","0","0"
"Chris Elsberry","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0"
"Chris Haft","0","0","1","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","1","0","0","0"
"Claire Smith","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0"
"Dan Graziano","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0"
"Dan Shaughnessy","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Dave Albee","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"Dave Krieger","1","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","1","0","0"
"Dave Van Dyck","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0"
"David Lariviere","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0"
"Dick Kaegel","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0"
"Frank Clines","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0"
"Fred Klein","1","0","1","1","0","0","0","0","1","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0"
"Fred Mitchell","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","1","0","0"
"Garry D Howard","0","0","0","1","0","0","0","1","0","1","0","0","1","0","0","0","0","0","1","1","1","1","0","0","0"
"Geoff Baker","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"Gordon Edes","1","0","1","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","1","0","1","1","0","0"
"Hal Bodley","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Howard Bryant","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Ian OConnor","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0"
"Jack Curry","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"Jack McCaffery","1","0","1","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","1","1","0","0","1","0","0"
"Jay Dunn","1","0","1","1","0","0","0","0","0","1","0","1","1","0","0","0","1","0","1","0","0","0","1","0","0"
"Jayson Stark","0","0","1","1","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","1","1","1","1","0","0"
"Jeff Blair","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","0","0"
"Jeff Fletcher","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","1","0","0"
"Jeff Jacobs","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Jerry Crasnick","0","0","1","1","0","0","0","0","1","1","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0"
"Jim Caple","1","0","1","1","0","0","0","0","1","1","0","1","1","0","0","0","0","0","0","1","0","1","1","0","0"
"Jim Cappozi","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Jim Ingraham","0","0","1","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0"
"Jim Street","0","0","1","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","1","1","0","0"
"Joe Christensen","1","0","1","1","0","0","0","0","0","1","0","1","1","0","0","0","0","1","0","0","0","1","1","0","0"
"Joe Posnanski","1","0","1","1","0","1","0","0","1","0","0","0","1","0","0","0","0","1","0","1","0","1","1","0","0"
"John Erardi","1","0","1","1","0","1","1","0","0","1","0","0","1","0","0","0","0","1","0","0","0","1","1","0","0"
"John McGrath","1","0","1","1","0","1","0","0","1","1","0","0","1","0","1","0","0","0","0","0","0","1","1","0","0"
"John P Lopez","0","0","1","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"John Perrotto","0","0","1","1","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","1","1","1","0","0"
