"Alan Trammell ","Barry Larkin ","Bernie Williams","Bill Mueller","Dale Murphy ","Don Mattingly ","Edgar Martinez ","Fred McGriff ","Jack Morris ","Jeff Bagwell ","Juan Gonzalez ","Larry Walker ","Lee Smith ","Mark McGwire ","Rafael Palmeiro ","Tim Raines ","Vinny Castilla","timestamp"
"Adam Rubin","0","1","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0"
"Andrew Baggarly","0","1","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0"
"Barry Bloom","1","1","0","0","0","0","1","1","1","0","0","0","1","1","1","1","0","0"
"Barry Rozner","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0"
"Barry Stanton","1","1","1","0","0","1","0","1","1","0","0","0","0","1","0","0","0","0"
"Bob Brookover","1","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0"
"Bob Hillie","1","1","0","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0"
"Bob Klapisch","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0"
"Bob Nightengale","1","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0"
"Bob Sansevere","0","1","0","0","0","0","0","1","1","1","0","1","1","0","0","1","0","0"
"Bob Smizik","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0"
"Brendan Roberts","0","1","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","0"
"Bruce Miles","1","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0"
"Buster Olney","1","1","0","0","1","0","0","0","1","1","0","0","1","1","1","1","0","0"
"Carrie Muskat","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Charley Waters","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Chaz Scoggins","0","0","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","0"
"Chris Elsberry","0","1","0","0","0","0","0","1","1","0","1","0","1","0","0","0","0","0"
"Chris Haft","0","1","0","0","1","0","0","0","1","1","0","0","1","0","0","0","0","0"
"Claire Smith","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0"
"Dan Graziano","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"Danny Knobler","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Dave Krieger","1","1","0","0","0","0","0","0","1","1","0","1","0","0","0","1","1","0"
"Dave van Dyck","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0"
"David Lariviere","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"David Wilhelm","0","1","0","0","0","0","0","1","0","1","0","0","1","0","0","1","0","0"
"Dick Kaegel","1","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"Evan Grant","1","1","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0"
"Fred Klein","1","1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0"
"Fred Mitchell","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0"
"Garry Brown","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0"
"Garry D Howard","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0"
"Geoff Baker","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0"
"Gerry Fraley","1","1","0","0","1","0","1","0","1","1","0","0","0","0","0","0","0","0"
"Hal Bodley","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Howard Bryant","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ian OConnor","0","1","0","0","0","0","0","0","1","1","0","0","1","0","0","1","0","0"
"Jack Curry","0","1","0","0","0","0","1","0","1","1","0","0","0","0","0","1","0","0"
"Jack McCaffery","1","1","0","0","0","1","0","0","1","1","0","1","1","1","0","1","0","0"
"Jayson Stark","0","1","0","0","1","0","1","1","1","1","0","1","0","1","1","1","0","0"
"Jeff Fletcher","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0"
"Jeff Jacobs","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Jeff Schultz","0","1","0","0","1","1","0","1","1","0","0","0","1","0","0","1","0","0"
"Jerry Crasnick","0","1","0","0","0","0","1","1","1","1","0","0","1","0","0","1","0","0"
"Jim Caple","1","1","1","0","0","0","1","1","1","1","0","1","0","1","0","1","0","0"
"Jim McGrath","1","1","0","0","1","0","1","1","0","1","0","1","0","0","0","1","0","0"
"Jim Molony","0","1","0","0","0","0","1","0","1","1","0","1","1","0","0","0","0","0"
"Joe Posnanski","1","1","0","0","1","0","1","0","0","1","0","1","0","1","0","1","0","0"
"John Erardi","1","1","0","0","1","0","1","1","0","1","0","1","0","0","0","1","0","0"
"John Perroto","0","1","0","0","0","0","1","0","0","1","0","1","0","0","1","0","0","0"
"John Shea","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0"
"John Tomase","0","1","0","0","0","0","1","0","1","1","0","0","0","1","0","1","0","0"
"Jon Becker","1","1","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0"
"Jon Heyman","0","1","0","0","1","1","0","0","1","0","0","0","0","0","0","1","0","0"
"Juan Vene","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Ken Davidoff","1","1","0","0","0","0","1","0","0","1","0","1","0","1","1","1","0","0"
"Ken Gurnick","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0"
"Ken Rosenthal","1","1","0","0","0","0","1","1","0","1","0","0","1","0","0","1","0","0"
"Larry Stone","1","1","0","0","0","0","1","1","0","1","0","1","0","1","0","1","0","0"
"Lyle Spencer","1","1","0","0","0","1","0","1","1","0","0","0","1","0","0","1","0","0"
"Lynn Henning","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"Marc Topkin","0","1","0","0","0","0","0","1","1","1","0","0","1","1","0","0","0","0"
"Mark Gonzales","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"Mark Purdy","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"Mark Saxon","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0"
"Marty Noble","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Mel Antonen","1","1","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0"
"Michael Bauman","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Michael Knisley","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0"
"Michael Silverman","0","1","0","0","0","0","1","0","0","1","0","0","0","1","0","1","0","0"
"Mike Bass","0","1","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0"
"Mike Berardino","1","1","0","0","0","0","1","1","0","1","0","1","0","0","0","1","0","0"
"Mike Imren","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0"
"Mike Nadel","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0"
"Mike Puma","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0"
"Mike Vaccaro","0","1","0","0","0","1","1","0","1","1","0","0","0","0","0","1","0","0"
"Paul Hagen","0","1","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0"
"Paul Sullivan","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0"
"Pedro Gomez","1","1","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0"
"Pete Caldera","0","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0"
"Peter Abraham","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0"
"Peter Botte","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0"
"Peter Gammons","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0"
"Peter Pascarelli","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","0"
"Phil Arvia","1","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0"
"Phil Hersh","1","1","0","0","0","0","1","0","1","0","0","1","1","0","0","1","0","0"
"Phil Jackman","1","1","0","0","0","1","1","1","1","1","0","1","1","0","0","1","0","0"
"Phil Rogers","1","1","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0"
"Randy Miller","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0"
"Richard Griffin","0","1","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0"
"Richard Justice","0","1","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0"
"Rick Carpinello","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Ron Chimelis","0","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"Ron Kroichick","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Scot Gregor","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Scott Miller","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0"
"Sean McClelland","1","1","0","0","0","0","1","1","1","1","0","0","1","1","1","1","0","0"
"Stan McNeal","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0"
"Steve Buckley","0","1","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0"
"TR Sullivan","1","1","0","0","0","0","1","1","1","1","1","0","0","1","1","1","0","0"
"Teddy Greenstein","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0"
"Terence Moore","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0"
"Thom Loverro","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Tim Cowlishaw","0","1","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0"
"Tim Kawakami","1","1","0","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0"
"Tim Kurkjian","1","1","0","0","0","0","1","1","1","1","0","0","1","1","1","0","0","0"
"Tom Dienhart","0","1","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0"
"Tom Powers","0","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"Tom Singer","1","1","0","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0"
"Tom Verducci","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0"
"Tony DeMarco","1","1","0","0","0","0","1","1","1","1","0","1","1","0","0","0","0","0"
"Tony Jackson","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0"
"Tracy Ringolsby","1","1","0","0","1","0","0","0","1","1","0","1","1","0","0","1","0","0"
"Wallace Matthews","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
