"Aaron Boone","Alan Trammell","Barry Bonds","Brian Giles","Carlos Delgado","Cliff Floyd","Craig Biggio","Curt Schilling","Darin Erstad","Don Mattingly","Eddie Guardado","Edgar Martinez","Fred McGriff","Gary Sheffield","Jack Morris","Jason Schmidt","Jeff Bagwell","Jeff Kent","Jermaine Dye","John Smoltz","Larry Walker","Lee Smith","Mark McGwire","Mike Mussina","Mike Piazza","Moises Alou","Nomar Garciaparra","Pedro Martinez","Randy Johnson","Rich Aurilia","Roger Clemens","Sammy Sosa","Tim Raines","Tom Gordon","Tony Clark","Troy Percival","timestamp"
"Adam Mertz","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","0","0","0","0","41643"
"Adam Rubin","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","41601"
"Alan Greenwood","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","41632"
"Andrew Baggarly","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","41643"
"Ann Killion","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","1","0","0","0","41643"
"Anonymous","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","1","0","0","0","41640"
"Anonymous Blank Ballot","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41643"
"Anthony McCarron","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","1","1","0","0","0","1","0","0","0","41643"
"Anthony Rieber","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","1","1","0","1","0","0","0","0","0","41643"
"Art Spander","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","41626"
"Aurelio Moreno","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","1","0","1","1","0","0","0","0","41630"
"Barry Bloom","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","1","1","0","1","0","0","0","0","0","41625"
"Barry Rozner","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","0","0","1","1","0","0","0","1","0","0","0","41626"
"Barry Stanton","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","41641"
"Bernie Miklasz","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","1","1","0","1","0","1","0","0","0","41636"
"Bernie Wilson","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","0","41633"
