"Alan Trammell","Barry Bonds","Billy Wagner","Brad Ausmus","Curt Schilling","David Eckstein","Edgar Martinez","Fred McGriff","Garret Anderson","Gary Sheffield","Jason Kendall","Jeff Bagwell","Jeff Kent","Jim Edmonds","Ken Griffey Jr.","Larry Walker","Lee Smith","Luis Castillo","Mark Gruzielanek","Mark McGwire","Mike Hampton","Mike Lowell","Mike Mussina","Mike Piazza","Mike Sweeney","Nomar Garciaparra","Randy Winn","Roger Clemens","Sammy Sosa","Tim Raines","Trevor Hoffman","Troy Glaus","timestamp"
"","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Adam Mertz","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","42009"
"Adam Rubin","1","1","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","41953"
"Alan Greenwood","1","1","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","41997"
"Alan Hoskins","0","1","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","0","0","0","1","1","0","0","1","1","0","0","0","42012"
"Amalie Benjamin","1","0","1","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","41971"
"Andrew Baggarly","0","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","42008"
"Andrew Call","0","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","41966"
"Ann Killion","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","42008"
"Anonymous","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","1","0","0","0","1","1","0","1","0","41969"
"Anthony McCarron","0","1","0","0","1","0","1","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","0","0","42007"
"Anthony Rieber","0","1","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","1","0","42008"
"Arnie Stapleton","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","41999"
"Art Davidson","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","41975"
"Art Martone","1","0","0","0","0","0","1","0","0","1","0","1","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","42017"
"Aurelio Moreno","0","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","1","0","0","0","41982"
"Barry Bloom","1","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","1","0","1","1","0","41957"
"Barry Rozner","0","1","0","0","1","0","0","0","0","0","0","1","1","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","41997"
"Barry Stanton","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","42008"
"Bernie Lincicome","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","1","1","0","0","41968"
"Bernie Miklasz","1","1","0","0","1","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","1","0","1","0","0","41988"
"Bernie Wilson","1","0","0","0","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","41992"
"Bill Ballou","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","41957"
"Bill Center","1","1","0","0","0","0","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","41954"
"Bill Madden","0","0","0","0","1","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42012"
"Bill Windler","1","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","1","0","1","1","0","42008"
"Bob Cohn","1","0","0","0","1","0","0","1","0","1","0","0","0","0","1","1","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","42009"
"Bob Dolgan","0","1","0","0","0","0","1","0","0","1","0","0","1","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","42012"
"Bob Elliott","1","1","0","0","0","0","0","1","0","0","0","1","1","0","1","1","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","42008"
"Bob Hertzel","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","41984"
"Bob Herzog","0","1","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","1","0","41992"
"Bob Hohler","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","42004"
"Bob Klapisch","0","1","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","1","0","42004"
"Bob Kuenster","0","0","0","0","1","0","1","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","42008"
"Bob Nightengale","0","1","0","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","1","1","1","0","42007"
"Bob Padecky","1","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","42007"
"Bob Ryan","1","0","0","0","1","0","1","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","41976"
"Bob Sherwin","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","42008"
"Brendan Roberts","0","1","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","1","0","1","1","0","42008"
"Brian Costello","0","1","0","0","1","0","0","0","0","1","0","1","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","1","0","1","0","41985"
"Brian Heyman","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","42010"
"Bruce Jenkins","0","1","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","1","0","1","0","42007"
"Bruce Miles","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","41997"
"C Trent Rosecrans","1","1","0","0","1","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","1","0","1","0","0","41996"
"Carl Steward","1","1","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","41964"
"Carlos Frias","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","1","1","1","0","41980"
"Carrie Muskat","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","42006"
"Carter Gaddis","0","0","0","0","0","0","1","1","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","42008"
"Chaz Scoggins","0","1","0","0","1","1","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","0","1","1","0","42008"
