Roberto Alomar,Harold Baines,Bert Blyleven,Andre Dawson,Barry Larkin,Edgar Martinez,Don Mattingly,Fred McGriff,Mark McGwire,Jack Morris,Dale Murphy,Dave Parker,Tim Raines,Lee Smith,Alan Trammell,Robin Ventura,Link (if found)
actual,73.70,6.10,73.70,77.90,51.60,36.20,16.10,21.50,23.70,52.30,11.70,15.20,30.40,47.30,22.40,1.30,
Mel Antonen,1,,1,1,1,1,,1,1,1,,,1,,1,,http://bit.ly/68ExSN
Phil Arvia,1,1,1,1,1,1,,,,1,,,,1,,,http://bit.ly/4Ay6tH
Mike Bauman,1,,1,1,,,,,,,,,,1,,,http://bit.ly/7r7kCM
Jeff Blair,1,,,,,,,,1,,,,1,,,,http://bit.ly/6zdJ28
Hal Bodley,1,,1,1,,,,,,1,,,,,,,http://bit.ly/7r7kCM
Barry M. Bloom,1,,1,1,,1,,1,1,1,,,,1,1,1,http://bit.ly/7r7kCM
Earl Bloom,1,,1,1,1,1,,,1,,,,1,1,,,http://bit.ly/90NuDg
Howard Brayant,,,1,1,,,,,,,,,,,,,http://bit.ly/7PZAzm
Tim Brown,1,,,,,,,,,,,,,,,,http://bit.ly/4wTml3
Jim Caple,1,,1,1,1,1,,1,1,1,,,1,,1,,http://twitter.com/jimcaple/status/7251920220
Joe Capozzi,1,,1,1,,,,,,,,,,,,,http://bit.ly/5oAemz
Pat Caputo,1,,1,1,,,,,,1,,,,1,1,,http://bit.ly/5NeSNk
Murray Chass,1,,,,1,,,,,1,,,,,,,http://bit.ly/8vo8wq
Bill Conlin,1,,1,1,,1,,1,,1,,,,,,,http://bit.ly/4GLzHD
Dan Coughlin,1,1,1,1,,,,,,,,1,,1,,,http://bit.ly/70mX5j
Jerry Crasnick,1,,1,1,1,1,,1,1,,,,1,1,,,bit.ly/7PZAzm
Jack Curry,1,,1,1,1,1,,,,,,,1,,,,http://twitter.com/JackCurry1/status/7241608161
Ken Davidoff,1,,1,,1,1,,,1,,,,1,,1,,http://bit.ly/5C8BUw
Mike Dodd,1,,,1,,,,,,,,,,1,,,http://bit.ly/68ExSN
Gordon Edes,1,1,1,,1,1,,1,1,,,,1,1,1,,http://bit.ly/7PZAzm
Jeff Fletcher,1,,1,1,1,,,,1,,,,1,,,,http://bit.ly/63ELAy
Peter Gammons,1,,1,1,1,,,,1,,,,1,,1,,http://bit.ly/7r7kCM
Pedro Gomez,1,,,1,1,,,,,,,1,,1,1,,http://bit.ly/7PZAzm
Mark Gonzales,1,,1,1,1,,,,,,,,,,,,http://bit.ly/58Xeh0
Teddy Greenstein,1,,1,1,,,1,,,,,,,1,,,http://bit.ly/8ZBEtE
Dan Graziano,1,,1,,1,,,,,1,,,1,,,,http://bit.ly/63ELAy
Robert Griffin,1,,1,1,1,,,,,1,,,1,,,,http://bit.ly/80BzSh
Ken Gurnick,,,1,1,,,,,,,,,,1,,,http://bit.ly/7r7kCM
Chris Haft,1,,1,1,1,,,,,1,1,,,1,,,http://bit.ly/7r7kCM
Tom Haudricourt,1,,1,1,1,1,,1,,1,,,1,1,,,http://bit.ly/4sdHpz
Joe Henderson (inc),1,,,,1,1,,1,,,,,,,,, http://bit.ly/4uZF1w
Philip Hersh,1,,1,1,1,1,1,,,1,,,,1,1,,http://bit.ly/7kAx8x
Lynn Henning,1,,1,1,1,1,,,,,,,1,,1,,http://bit.ly/6tydXD
Jon Heyman,1,,,1,1,,1,,,1,,1,,,,,
John Hickey,1,,1,1,,1,,,1,1,1,1,,1,,,http://bit.ly/63ELAy
Tony Jackson,1,,,1,,,,,,,,,,1,,,http://bit.ly/7PZAzm
Bruce Jenkins,1,,,,1,1,1,,1,1,,1,,,,,http://bit.ly/4ATVNE
Tom Keegan,1,,1,1,1,1,,,,1,,,,,,,http://bit.ly/60mFPV
Bill Kennedy,,,1,1,,,,,1,,1,,,,,,http://bit.ly/8D7sR3
Bob Klapisch,1,,1,1,1,,,,,1,,,1,,,,
Mike Klis (inc),,,,,,,,,1,,,,,,,,http://bit.ly/8yKqxT
Michael Knisley,1,,,1,,1,,,,,,,,1,,,http://bit.ly/7PZAzm
Danny Knobler,1,,,1,,,,,1,1,,,,,,,http://bit.ly/4ocCKb
Tim Kurkijan,1,,1,1,1,1,,1,1,1,,,1,,1,,http://bit.ly/7PZAzm
Larry LaRue,1,1,1,1,,1,,,1,,,,1,1,,,http://bit.ly/8ILCTH
Seth Livingstone,1,,1,1,1,1,,1,1,,,,,,,,http://bit.ly/68ExSN
Sean McClelland,,,1,1,1,,,,1,1,,,,1,,,http://bit.ly/71ojkS
Hal McCoy,,,1,1,1,1,,,,,,,,1,,,http://bit.ly/5u0RFQ
Joe McGrath,1,,1,1,1,1,,1,,,1,,1,1,1,,http://bit.ly/8ILCTH
Bill Madden,1,,1,1,1,1,,,,1,,,,,,,http://bit.ly/4KCF1n
Jay Mariotti,NOBODY,B/C,"""LOOK",AT,"ME""",,,,,,,,,,,,
Bob Markus,1,,1,1,,,,,1,,,,,1,,,http://bit.ly/8Vwgd1
Bernie Miklasz,1,,1,1,1,1,,,1,,,,1,1,1,,http://bit.ly/6e1Jza
Bruce Miles,1,,1,1,1,1,,,,1,,,1,1,1,,http://bit.ly/8QRryt
Scott Miller,1,,1,1,1,,,,,1,,,1,,1,,http://bit.ly/64sLsg
Fred Mitchell,1,,1,1,1,,,1,,1,,,1,1,,,http://bit.ly/7cLx0T
Kevin Modesti,1,,1,1,,,,,1,,,,,,,,http://bit.ly/7shcRK
Terrence Moore,1,,1,1,1,,,1,,,,,1,1,,,http://bit.ly/63ELAy
Carrie Muskat,1,,,1,,,,,,,,,,,,,http://bit.ly/7r7kCM
Mike Nadal,1,,1,1,1,,,,,1,,,,,,,http://bit.ly/4GVbFh
Mark Newman,1,,,,,,,,1,,,,,1,,,http://bit.ly/7r7kCM
Bob Nightengale,1,,1,1,,,,1,,1,,,,,,,http://bit.ly/68ExSN
Marty Noble,,,,,1,,,,,,,1,,,,,http://bit.ly/7r7kCM
Buster Olney,1,,,1,1,,,,1,1,,,1,,,,http://bit.ly/7PZAzm
Drew Olsen (inc),1,,1,,,,,,,,,,1,,,,http://bit.ly/7ORImv
Tom Pedulla,,,1,1,1,,,,,,,,,,,,http://bit.ly/68ExSN
John Perotto,1,,1,1,1,1,1,,1,,,1,,,,,http://bit.ly/gI7TQJ
Mike Peticca,1,,1,1,1,,,1,1,1,,1,1,1,,,http://bit.ly/87fzzy
Joe Posnanski,1,,1,,1,1,,,1,,1,,1,,1,,http://bit.ly/5ulbNe
Ed Price,1,,1,,,,,1,,1,,,1,1,,,http://bit.ly/63ELAy
Tracy Ringolsby,1,,1,1,1,,,,,1,,,1,1,1,,http://bit.ly/8f5ZUW
Brendan Roberts,1,,1,,1,,,,1,,,,1,1,,,http://bit.ly/7PZAzm
Phil Rogers,1,1,1,1,,,,,,1,,,1,,1,,http://bit.ly/5LkFe6
Ken Rosenthal,1,,1,1,1,1,,1,,,,,1,1,1,,http://bit.ly/6IhSKY
TJ Quinn,1,,1,1,,,,,,1,1,,,,,,http://bit.ly/7PZAzm
Jeff Schultz,,,1,1,,,,1,,1,1,1,,,,,http://bit.ly/69wy66
Mike Shalin,1,,1,1,1,1,1,,,1,1,1,,,1,,http://bit.ly/7kVlRa
Dan Shaughnessy,1,,1,,,,,,,1,,,,,,,http://bit.ly/5PB4VU
Joel Sherman,1,,,,,1,,,,1,,,1,,,,
Tom Singer,1,,1,1,1,1,,,,1,,,,,1,,http://bit.ly/7r7kCM
Bob Smizik,1,,,1,,,,,1,,,,,,,,http://bit.ly/89P8Ic
Lyle Spencer,1,,1,1,1,,1,,,,1,,1,1,1,,http://bit.ly/7r7kCM
Jayson Stark,1,,1,1,1,1,,1,1,1,1,,1,,,,http://bit.ly/7PZAzm
Carl Steward,1,,1,1,,,,,1,1,,,1,1,,,http://bit.ly/6zNiE2
Jim Street,1,,1,1,1,1,,,,1,,,1,,,,http://bit.ly/7r7kCM
Paul Sullivan,1,1,,1,,,,,,,,,1,1,,,http://bit.ly/8JcSX2
T.R. Sullivan,1,,1,1,,,,,1,,,,,,,,http://bit.ly/7r7kCM
Larry Stone,1,,1,1,1,1,,1,1,,,,1,,1,,http://twitter.com/StoneLarry/status/7241164956
Marc Topkin,1,,,1,1,,,1,1,,,,,1,,,http://bit.ly/602gXa
Charley Waters,1,,1,,1,1,,,,1,,,1,,1,,http://bit.ly/7kNbPD
Dave Van Dyke,1,,,1,,,,,,,,,,1,,,http://bit.ly/8fSb3Q
Tom Verducci,1,,,,1,,,1,,,,,1,,,,
