Pete Abraham,,1,1,,,1,,,1,,,,,,1,,,,,,1,,,1,1,,1,,,,,1,,,,10,http://bo.st/1fOKD43,91,96,9,13,0,6,17,0,18,0,0,0,0,0,3,10,8,5,0,0,15,0,0,,0,
Mel Antonen,,1,1,,,,,,1,,,,,,1,,,,,1,1,,,1,1,,,,,,,1,,1,,10,http://bit.ly/1vsXuPV,78,100,9,13,0,0,17,0,18,0,0,0,0,10,3,10,8,0,0,0,15,3,0,,0,
Kirby Arnold,,1,1,,,,,,1,,,,,,1,1,,,,1,,,,1,1,,1,,,,,1,,,,10,http://bit.ly/1exhAB2,78,100,9,13,0,0,17,0,18,4,0,0,0,10,0,10,8,5,0,0,15,0,0,,0,
Phil Arvia,,1,1,,,,,,1,,,,,,1,1,,,,1,,,,1,1,,,,1,,,1,,,,10,http://bit.ly/1dXOMkO,74,100,9,13,0,0,17,0,18,4,0,0,0,10,0,10,8,0,5,0,15,0,0,,0,
Steve Aschburner,,,1,,,,,,1,,,,,,1,,,,,1,,,,,1,,,,1,,,1,,1,,8,http://bit.ly/K62hp4,52,89,0,13,0,0,17,0,18,0,0,0,0,10,0,0,8,0,5,0,15,3,0,,4,
Chris Assenheimer,,,1,,,,,,1,,,,,,1,,1,,,,,,,1,,,,,1,,,1,,,,7,http://bit.ly/1bHWFbn,42,79,0,13,0,0,17,0,18,0,1,0,0,0,0,10,0,0,5,0,15,0,0,,9,
Andrew Baggarly,,1,1,1,,1,,,1,,,,,,1,1,,,,,,,,1,1,,,,,,,1,,,,10,http://bit.ly/1a10Fad,100,96,9,13,6,6,17,0,18,4,0,0,0,0,0,10,8,0,0,0,15,0,0,,0,
Chris Bahr,,1,1,,,,,,1,,,,,,1,1,,,,,,,,1,1,,1,,1,,,1,,,,10,http://bit.ly/1cQeKZh,78,95,9,13,0,0,17,0,18,4,0,0,0,0,0,10,8,5,5,0,15,0,0,,0,
Geoff Baker,,1,1,,,,,,1,,,,,,1,,,,,1,,,,,1,,1,,,,,1,,,,8,http://bit.ly/JGIM76,60,95,9,13,0,0,17,0,18,0,0,0,0,10,0,0,8,5,0,0,15,0,0,,4,
William Ballou,,1,,1,,1,,,1,,,,,,1,,,,1,,,,,1,,,,,,,,1,,,,8,"Via email, + http://bit.ly/1hLcR3P",80,83,9,0,6,6,17,0,18,0,0,0,2,0,0,10,0,0,0,0,15,0,0,,4,
Mike Bass,,1,1,,,,,,1,,,,1,,1,1,,,,1,,,,1,,,1,,,,,1,,,,10,http://bit.ly/1bP4egl,72,97,9,13,0,0,17,2,18,4,0,0,0,10,0,10,0,5,0,0,15,0,0,,0,
Mike Bauman,,1,1,,,,,,1,,,,,,1,,,,,,,,,1,,,,,1,,,1,,,,7,http://atmlb.com/1acHryM,50,87,9,13,0,0,17,0,18,0,0,0,0,0,0,10,0,0,5,0,15,0,0,,9,
Greg Beacham,,1,1,1,,1,,,1,,,,,,1,,,,,1,,,,1,1,,,,,,,1,,,,10,http://bit.ly/1czLN2I,96,100,9,13,6,6,17,0,18,0,0,0,0,10,0,10,8,0,0,0,15,0,0,,0,
Jon Becker,,1,,1,,1,,,1,,,,,,1,,,,,,,,,1,1,,,,,,,1,,1,1,10,http://bit.ly/1cZr771,96,89,9,0,6,6,17,0,18,0,0,0,0,0,0,10,8,0,0,0,15,3,2,,0,
Mike Berardino,,1,1,,,,,,1,,,,,,1,1,,,,,1,,,,1,,1,,,,,1,,1,,10,http://bit.ly/1bP4egl,78,89,9,13,0,0,17,0,18,4,0,0,0,0,3,0,8,5,0,0,15,3,0,,0,
Rob Biertempfel,,,1,,,,,,1,,,,,,1,,,,,1,,,,,,,,,1,,,1,,,,6,http://bit.ly/19zU1dw,26,78,0,13,0,0,17,0,18,0,0,0,0,10,0,0,0,0,5,0,15,0,0,,16,
Jeff Blair,,,,1,,1,,,1,,,,,,1,,,,1,1,,,,1,1,,,,,,,1,,,,9,http://bit.ly/1eFHnqT,84,90,0,0,6,6,17,0,18,0,0,0,2,10,0,10,8,0,0,0,15,0,0,,1,
Barry M. Bloom,,1,1,1,,1,,,1,,,,1,,1,,,,,1,,,,1,,,,,,,,1,,,,10,http://bit.ly/1bCCiMw,90,98,9,13,6,6,17,2,18,0,0,0,0,10,0,10,0,0,0,0,15,0,0,,0,
Ron Blum,,,,1,,1,,,1,,,,,,1,,,,1,1,,,,1,,,,,,,1,1,,,,9,http://bit.ly/JGxVtC,78,84,0,0,6,6,17,0,18,0,0,0,2,10,0,10,0,0,0,1,15,0,0,,1,
Hal Bodley,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,4,http://atmlb.com/1acHryM,-2,60,0,0,0,0,17,0,18,0,0,0,0,10,0,0,0,0,0,0,15,0,0,,36,
 Peter Botte,,1,,,,,,,1,,,,1,,1,,,1,,1,,,,1,1,,1,,,,,1,,,,10,http://bit.ly/1cVlZki,71,92,9,0,0,0,17,2,18,0,0,2,0,10,0,10,8,5,0,0,15,0,0,,0,
Marcos Breton,,1,1,1,,1,,,1,,,,,,1,1,,,,,,,,1,,,,,,,,1,,,,9,http://bit.ly/1bMdv8M,90,94,9,13,6,6,17,0,18,4,0,0,0,0,0,10,0,0,0,0,15,0,0,,1,
Garry Brown,,1,1,,,,,,1,,,,,,1,1,,,,1,,,,1,1,,1,,,,,,,,,9,http://bit.ly/1g6PHkA,65,90,9,13,0,0,17,0,18,4,0,0,0,10,0,10,8,5,0,0,0,0,0,,1,
Tim Brown,,1,1,,,,,,1,,,,1,,1,,,,,,1,,,1,1,,1,,,,,1,,,,10,http://bit.ly/1dSaRkL,80,95,9,13,0,0,17,2,18,0,0,0,0,0,3,10,8,5,0,0,15,0,0,,0,
Howard Bryant,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,4,http://bit.ly/1kZt6dn,-2,60,0,0,0,0,17,0,18,0,0,0,0,10,0,0,0,0,0,0,15,0,0,,36,
Steve Buckley,,1,1,,,,,,1,,,,,,1,1,,,,1,,,,1,1,,1,,,,,1,,,,10,http://bit.ly/19GdYgb,78,100,9,13,0,0,17,0,18,4,0,0,0,10,0,10,8,5,0,0,15,0,0,,0,
