Ballot of the Year,,,,,,,,,,,This color is a Morris with no Blyleven ballot,,,,,,,,,,,,,,
,Roberto Alomar,Carlos Baerga,Jeff Bagwell,Harold Baines,Bert Blyleven,Kevin Brown,John Franco,Juan Gonzalez,Barry Larkin,Edgar Martinez,Tino Martinez,Don Mattingly,Fred McGriff,Mark McGwire,Jack Morris,Dale Murphy,John Olerud,Rafael Palmeiro,Dave Parker,Tim Raines,Lee Smith,BJ Surhoff,Alan Trammell,Larry Walker,Ballot URL (if found)
Public Online Ballots,94.26%,,41.80%,4.92%,80.33%,2.46%,2.46%,2.46%,67.21%,32.79%,0.82%,6.56%,16.39%,20.49%,50.82%,8.20%,0.82%,13.93%,5.74%,47.54%,38.52%,0.82%,27.87%,13.11%,
Total Results,90.00%,,41.70%,4.80%,79.70%,2.10%,4.60%,5.20%,62.10%,32.90%,1.00%,13.60%,17.90%,19.80%,53.50%,12.60%,0.70%,11.00%,15.30%,37.50%,45.30%,0.30%,24.30%,20.30%,
Total Votes (out of 122),115,0,51,6,98,3,3,3,82,40,1,8,20,25,63,10,1,17,7,58,47,1,34,16,
Pete Abraham,1,,,,1,,,,1,,,,,,,,,,,1,,,1,,http://bit.ly/hXZ5NM
Dave Albee,1,,1,,1,,,,1,,,,,,,,,,,,,,,,http://bit.ly/dLqUPJ
Mel Antonen,1,,,,1,,,,1,1,,,1,1,1,,,,,1,,,1,,http://bit.ly/ibLFka
Phil Arvia,1,,1,1,,,,,1,1,,,,,1,,,,,,1,,,,http://bit.ly/g9kLKA
Geoff Baker,1,,,,1,,,,1,,,,,,,,,,,1,,,,,http://bit.ly/gDnAPn
Andrew Baggarly (partial),1,,,,1,,,,1,1,,,,,,,,,,1,,,,,http://bit.ly/eUpSYq
Mike Bass,1,,1,,1,,,,1,1,,,,,1,,,,,,,,,,http://bit.ly/gtAk0F 
Jeff Blair,1,,,,,,,,,,,,,1,,,,,,1,,,,1,http://bit.ly/ht2NxC
Mike Bauman,1,,1,,1,,,,1,,,,,,,,,,,,,,,,http://bit.ly/gTWctI
Barry Bloom,1,,,,1,,,,,1,,,1,1,1,,,1,,1,1,,1,,http://bit.ly/grFS48
Hal Bodley,1,,,,1,,,,,,,,,,1,,,,,,,,,,http://bit.ly/hKURYJ
Peter Botte,1,,,,,,,,1,,,,,,1,,,,,,,,,,http://mypict.me/show.php?id=fT7uD
Bob Brookover (partial),,,,,1,,,,,,,,,,,,,,,,,,,,http://bit.ly/i94SOc
Howard Bryant,1,,,,1,,,,,,,,,,,,,,,,,,,,http://es.pn/f3zMwJ
Nick Cafardo,1,,,,1,,,,1,,,,,,1,,,,,1,,,1,,http://bit.ly/hHMYGm
Jim Caple,1,,1,,1,,,,1,1,,,1,1,1,,,,,1,,,1,,http://es.pn/ftrnvz
Jim Cappozi,1,,,,1,,,,,,,,,,,,,,,,,,,,http://bit.ly/g231V7
Ron Chimelis,1,,1,,1,,,,,,,,,,1,,,,,,,,,,http://bit.ly/i8tK8h
Joe Christensen,1,,1,,1,,,,1,,,,1,,1,,,,,1,,,1,1,http://bit.ly/dW3Qr5
Frank Clines,1,,,,1,,,,1,,,,,1,,,,1,,,,,1,,http://bit.ly/eeR7kG
Bill Conlin,1,,1,,1,,,1,1,,,,,,1,,,,,,,,,,http://bit.ly/fJ0iMv
Tim Cowlishaw,1,,,,,,,,1,1,,,,,1,,,,,1,,,,,http://bit.ly/dHfePn
Jerry Crasnick,1,,1,,1,,,,1,1,,,1,,1,,,,,1,,,,,http://es.pn/f3zMwJ 
Jack Curry,1,,,,1,,,,1,1,,,,,,,,,,1,,,,,http://bit.ly/dVznlh
Paul Daugherty,1,,,,1,,,,1,,,,,,1,,,,,,,,,,http://bit.ly/e6Cmoc
Ken Davidoff,1,,1,,1,1,,,1,1,,,,1,,,,,,1,,,1,1,http://bit.ly/fTQJtY
Tony DeMarco,1,,,,1,,,,1,1,,,1,,1,,,,,1,1,,1,1,http://bit.ly/fnK4Zk
Tom Dienhart,,,,1,1,,,,,,,,,,1,1,,,,1,1,,,,http://bit.ly/dEtjgK
Mike Dodd,1,,,,,,,,1,,,,,,,,,,,,1,,1,,http://bit.ly/fE7V5S
Jay Dunn,,,1,,1,1,,,1,,,,1,,1,,,,,1,1,,1,,
Mike Dyer,1,,,1,,,,,1,1,,1,,,,,,1,,1,,,,,http://on.fb.me/eLVgVf
Gordon Edes,1,,1,,1,,,,1,1,,,,1,,,,,,1,1,,1,,http://es.pn/f3zMwJ 
Chris Elsberry,1,,,,1,,,,1,,,,,,1,,,,,,1,,,,http://bit.ly/ewC2p7
John Erardi ,1,,1,,1,,,,1,,,,1,,,1,,,1,1,,,1,1,http://bit.ly/hRyVTv
Mike Fine,1,,1,,1,,,,1,1,,,,,,,,1,,,1,,,1,http://bit.ly/hDUqP3
Jeff Fletcher,1,,1,,1,,,,1,,,,,1,,,,,,1,,,,,http://bit.ly/dNxahT
Mark Gonzales,1,,,,1,,,,1,,,,,,,,,,,,,,,,http://bit.ly/hzI68X
Pedro Gomez,1,,,,1,,,,1,,,,,,1,,,,1,,1,,1,,
Dan Graziano,1,,,,1,,,,1,,,,,,1,,,,,1,,,,,http://bit.ly/fW0qrG
Teddy Greenstein,1,,,,1,,,,,,,1,,,,,,,,1,1,,,,http://bit.ly/i6p89V
Richard Griffin,1,,,,1,,,,1,,,,,,1,,,,,1,,,,1,http://bit.ly/gRLLew 
Ken Gurnick,,,,,1,,,,,,,,,,,,,,,,1,,,,http://bit.ly/gTWctI
Mike Hart,1,,,,1,,,,,,,,,,1,,,,,,,,,,http://bit.ly/f2NEzt
Tom Haudricourt,1,,,,1,,,,1,1,,,1,,1,,,,,1,1,,,,http://bit.ly/f2NEzt
Michael Hunt,1,,1,,1,,,,,,,,,,1,,,,,,,,,,http://bit.ly/f2NEzt
Jim Ingraham,1,,1,,1,,,,1,1,,,,,1,,,,,1,,,,,http://bit.ly/eszLmr
Jeff Jacobs,1,,,,1,,,,,,,,,,1,,,,,,,,,,http://bit.ly/hOPhiu
Tony Jackson,1,,,,1,,,,,,,,,,,,,,,,1,,,,http://es.pn/f3zMwJ 
Richard Justice,1,,1,,1,,,,1,,,,1,,1,,,,,1,1,,,,http://bit.ly/hNXreH
Chris Haft,1,,1,,1,,,,1,,,,,,1,1,,,,,1,,,,http://bit.ly/gTWctI
Philip Hersh,1,,,,1,,,,1,1,,1,,,1,,,,1,,1,,1,1,http://bit.ly/hBp24y
Brian Heyman,1,,,,,,,,,,,,,,,,,,,,,,,,http://bit.ly/hgS0WD
Jon Heyman,1,,,,,,,,1,,,1,,,1,1,,,1,1,,,,,http://bit.ly/dXECUG
Garry D Howard,1,,1,,1,,,,,,,1,1,1,,,,1,,,1,,,,http://bit.ly/eY86Gz
Dick Kaegel,1,,1,,1,,,,,,,,,,,,,,,,1,,,,http://bit.ly/gTWctI
Tom Keegan,1,,1,,1,,,,1,1,,,,,1,,,,,,,,,,http://bit.ly/gLNMlN
Bill Kennedy,1,,,,1,,,,,,,,,1,,1,,1,,,,,,,http://bit.ly/dQzCIw
Bob Klapisch,1,,,,1,,,,1,,,,,,1,,,,,1,,,1,,http://bit.ly/fz4UV7
Fred Klein,1,,,,1,,1,,1,1,,,,,1,,,,,,1,,1,,http://bit.ly/hri6iN
Michael Knisley,1,,,,,,,,,1,,,,,,,,,,,1,,,,http://es.pn/f3zMwJ 
"Danny ""Pure Players Only"" Knobler",1,,,,,,,,,,,,,,1,,,,,,,,,,http://bit.ly/hSZMyW
Mark Kreidler,1,,,,1,,,,,,,,,,,,,,,,,,,,http://bit.ly/gVdlvm
Dave Krieger,1,,1,,,,,,1,,,,,,1,,,,,1,,,1,1,http://bit.ly/fAr9yv
Tim Kurkijan,1,,1,,1,,,,1,1,,,,1,1,,,1,,1,,,1,,http://es.pn/f3zMwJ 
Paul Ladewski,,,,,1,,,,,,,,,,,,,,,,,,,,http://bit.ly/h35dxx
David Lariviere,1,,,,1,,,,,,,,,,,,,,,,1,,,,http://bit.ly/dFCvWi
Larry Larue,1,,1,,1,,,,1,1,,,1,,1,,,,,1,1,,,,http://bit.ly/gqEZ7a
Seth Livingstone,1,,1,,,,,1,1,1,,,,1,,,,1,,1,,,1,1,http://bit.ly/fE7V5S
John P Lopez,1,,1,,1,,,,1,,,,,,,,,,1,,,,,,http://twitpic.com/3k9nf2
Jack McCaffery,,,1,,1,,,,1,,,1,,1,1,,,,,1,1,,1,,http://bit.ly/gal1gL
John McGrath,1,,1,,1,,,,1,1,,,1,,,1,1,,,1,,,1,,http://bit.ly/iirVo4
Stan McNeal,1,,1,,1,,,,1,,,,,,,,,,,1,,,,,http://bit.ly/fvjAdj
Steven Marcus,1,,1,,,,,,,,,,,,1,,,,,,,,,,http://bit.ly/hbqNwu
Tony Massarotti,1,,,,,,,,1,1,,,,,,,,,,,,,,,http://bit.ly/hHMYGm
"Bruce ""It's Not The Hall of Stats"" Miles",1,,1,,1,,,,1,1,,,,,1,,,,,1,1,,1,,http://bit.ly/hQWmkj
Scott Miller,1,,,,1,,,,1,,,,,,1,,,,,1,,,1,,http://bit.ly/f9JgGQ
Fred Mitchell,1,,,,1,,,,1,,,,,,1,,,,,1,1,,,,http://bit.ly/fv4YNj
Terrence Moore,1,,,,1,,,,1,,,,1,,,,,,,,1,,,,http://aol.it/hIGM3H
Carrie Muskat,1,,,,,,,,,,,,,,,,,,,,,,,,http://bit.ly/gTWctI
La Velle E. Neal,1,,1,,1,,1,,1,1,,,1,,,,,,,1,1,,,,http://bit.ly/dW3Qr5
Mark Newman,1,,,,,,,,1,,,,,1,,,,,,,1,,,,http://bit.ly/gTWctI
Bob Nightengale,1,,,,1,,,,,,,,1,,1,,,1,,,,,,,http://bit.ly/fE7V5S
Marty Noble,1,,,,,,,,1,,,,,,,,,,1,,,,,,http://bit.ly/gTWctI
Ian O'Connor,1,,,,1,,,,1,,,,,,1,,,,,,1,,,,http://es.pn/f3zMwJ
Buster Olney,1,,1,,,,,,,,,,,1,1,,,1,,1,,,,,http://es.pn/gkGrSX
Rob Parker,1,,,,,,,,,,,,,1,,,,,,,1,,,,http://es.pn/f3zMwJ
Peter Pascarelli,1,,,,1,,,,,,,,,,,,,,,,,,,,http://es.pn/f3zMwJ
Tom Pedulla,1,,,,1,,,,,,,,,,1,,,,,,,,,,http://bit.ly/fE7V5S
John Perrotto,1,,1,,1,,,,1,1,,,,,,,,1,,1,,,,1,http://bit.ly/fzbXtN
Terry Pluto,1,,,,1,,,,1,,,,,,1,,,,,,,,,,http://bit.ly/h3X2yL
Joe Posnanski,1,,1,,1,,,,1,1,,,,1,,1,,,,1,,,1,1,
Tom Powers,1,,,,1,,,,,,,,,,1,,,,,,,,,,http://bit.ly/gmQKeX
Mike Puma,1,,,,,,,,,,,,,,,,,,,,,,,,http://bit.ly/fnBuMJ
Rob Rains,1,,1,1,1,,,,1,,,,,,,,,,,,1,,,,http://bit.ly/gEv8Xv
Tracy Ringolsby,1,,1,,1,,1,,1,,,,,,1,,,,,1,1,,1,1,http://bit.ly/hXpzo6
Brendan Roberts,1,,1,,1,,,,1,,,,,,1,,,1,,1,1,,,,http://es.pn/f3zMwJ
Phil Rogers,1,,,,1,,,,1,,,,,,1,,,,,1,,,1,1,http://bit.ly/h10NtB
Ken Rosenthal,1,,,,1,,,,1,1,,,1,,,,,,,1,1,,1,,http://bit.ly/eMpmLE
Adam Rubin,1,,1,,1,,,,1,,,,,,1,1,,,,,,,,,http://es.pn/f3zMwJ
Bob Ryan,1,,1,,1,,,,1,1,,,,,1,,,,,,,,,,http://bit.ly/hHMYGm
Bob Sansevere,1,,1,,1,,,,,,,,,,1,,,,,,,,,,http://bit.ly/gtAk0F 
Mark Saxon,1,,,,1,,,,1,,,,,,,,,,,1,1,,,,http://es.pn/f3zMwJ
Chaz Scoggins,1,,1,,1,,,,,,,,,1,,1,,,,1,1,,,,http://bit.ly/dGszlK
Dan Shaughnessy,1,,,,1,,,,,,,,,,1,,,,,,,,,,http://bit.ly/fBiq1u
John Shea,1,,,,1,,,,1,,,,,,,,,,,,1,,,,http://bit.ly/gAEbK6
Mike Silverman,1,,1,,1,,,,1,1,,,,1,,,,,,1,,,,,http://bit.ly/fUytxQ
Tom Singer,1,,,,1,,,,1,1,,,,,,,,1,,,1,,1,,http://bit.ly/gTWctI
Claire Smith,1,,,,1,,,,,1,,,,,1,,,,,,1,,,,http://es.pn/f3zMwJ
Lyle Spencer,1,,,,1,,,,1,,,1,1,,,1,,1,,1,1,,1,,http://bit.ly/gTWctI
Jayson Stark,1,,1,,1,,,,1,1,,,,1,,,,1,,1,,,,1,http://es.pn/f3zMwJ
Carl Steward,1,,,,1,,,,,,,,,1,1,,,,,,1,,,,http://bit.ly/fDZqDz
Larry Stone,1,,1,,1,,,,1,1,,,1,1,,,,,,1,,,1,1,http://bit.ly/fVj4tS
Paul Sullivan,1,,,1,,,,,,,,,,,,,,,,1,1,,,,http://bit.ly/hVPp7x
T.R. Sullivan,1,,1,,1,1,,1,1,,,,,1,1,,,1,,1,,,,,http://bit.ly/gTXcOq
Barry Stanton,,,,,,,,,,1,1,1,,,1,,,,,,,1,,,http://es.pn/f3zMwJ 
Jim Street,1,,1,,1,,,,1,1,,,,,1,,,,,1,1,,,,http://bit.ly/gTWctI
Rick Telander,1,,,1,1,,,,1,1,,,,,,,,,1,1,1,,1,,http://bit.ly/hjzaAh
John Tomase,1,,1,,1,,,,1,,,,,,1,,,,,,,,1,,http://bit.ly/hpjXr3
Mark Topkin,1,,1,,,,,,1,,,,1,1,,,,,,,1,,,,http://bit.ly/f9XDiE
Dave Van Dyck,1,,,,,,,,,,,,,,1,,,,,,1,,,,http://bit.ly/gg4XgV
Charley Walters,1,,,,1,,,,1,1,,,,,1,,,,,1,,,,,http://bit.ly/gtAk0F 
