Fred Mitchell,Sandy Alomar Jr,Jeff Bagwell,Craig Biggio,Barry Bonds,Jeff Cirillo,Royce Clayton,Roger Clemens,Jeff Conine,Steve Finley,Julio Franco,Shawn Green,Roberto Hernandez,Ryan Klesko,Kenny Lofton,Edgar Martinez,Don Mattingly,Fred McGriff,Mark McGwire,Jose Mesa,Jack Morris,Dale Murphy,Rafael Palmeiro,Mike Piazza,Tim Raines,Reggie Sanders,Curt Schilling,Aaron Sele,Lee Smith,Sammy Sosa,Mike Stanton,Alan Trammell,Larry Walker,Todd Walker,David Wells,Rondell White,Bernie Williams,Total Votes on Ballot,Ballot Link,Woody Williams
Online Ballot %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Ballot %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Votes,1,104,114,80,0,0,77,0,0,1,1,0,0,6,56,15,28,23,0,95,26,19,98,106,0,69,0,55,21,0,61,28,0,1,0,3,,,
Jim Alexander,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,1,,,,,,4,http://bit.ly/10fvm8P,
Kirby Arnold,,1,1,,,,,,,,,,,,1,,1,,,1,,,1,1,,1,,1,,,1,,,,,,10,http://bit.ly/100ynJS,
Rob Biertempfel,,1,1,,,,,,,,,,,,,,,,,1,,,,1,,1,,1,,,,,,,,,6,http://bit.ly/XJcM7e,
Geoff Baker,,1,1,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,,1,,,,,,6,http://bit.ly/Vgjxbh,
Mike Bass,,1,1,,,,,,,,,,,,1,,,,,1,,,1,,,1,,,,,,,,,,,6,http://bit.ly/Vbrq4W,
Barry Bloom,,,1,1,,,1,,,,,,,,,,,1,,1,,1,1,,,,,1,1,,1,,,,,,10,http://atmlb.com/XJ90ee,
Hal Bodley,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,3,http://atmlb.com/XJ90ee,
Peter Botte,,1,,,,,,,,,,,,,1,,1,,,1,,,1,1,,1,,,,,,,,,,,7,https://twitter.com/PeterBotte/status/289037602613493760,
Garry Brown,,1,1,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,5,http://bit.ly/U4rq67,
Steve Buckley,,1,1,,,,,,,,,,,,1,,1,,,1,,,1,1,,1,,,,,,,,,,,8,http://bit.ly/X1fKUm,
Nick Cafardo,,1,1,1,,,1,,,,,,,,,,,,,1,,,1,1,,,,,1,,1,,,,,,9,http://b.globe.com/Zg6U6D,
Jim Caple,,1,1,1,,,1,,,,,,,,1,,,,,1,,,1,1,,1,,,,,1,,,,,,10,http://es.pn/10syP2J,
Joe Capozzi,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,2,http://bit.ly/ZqRJHT,
Pat Caputo,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,1,,,1,,,,,,5,http://bit.ly/Vbrq4W,
Murray Chass,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,http://bit.ly/YYAvvz,
Ron Chimelis,,1,1,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,5,http://bit.ly/Tn9mlq,
Joe Christensen,,1,,1,,,1,,,,,,,,,,,1,,1,,1,1,1,,1,,,,,1,,,,,,10,http://bit.ly/Vgj1x4,
Jerry Crasnick,,1,1,1,,,1,,,,,,,,1,,1,,,1,1,,1,,,,,,,,,,,,,,9,http://es.pn/VfYlFw,
Jack Curry,,1,1,,,,,,,,,,,,1,,,,,1,,,1,1,,1,,,,,,1,,,,,8,http://bit.ly/UBCxFV,
Paul Daugherty,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,3,http://cin.ci/VwwKN3,
Art Davidson,,1,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,4,,
Jose de Jesus Ortiz,,1,1,1,,,1,,,,,,,,,,,,,1,1,,1,1,,,,1,1,,,,,,,,10,http://bit.ly/VZr2BQ,
John Delcos,,1,1,,,,,,,,,,,,1,1,1,,,1,,,1,1,,,,,,,,,,,,,8,http://bit.ly/ZqRYmb,
