Follow @NotMrTibbs on Twitter,,,Public Ballots:,,,,,,,,,,331,,,240,% of Ballots Known:,,,60.29%,,,Votes per Public Ballot:,,,,8.73,2889,Downloadable Excel Version (as of 326 ballots),,,,"Gained vote (Light green=first-time voter)",,,,,"Voters publicly abstaining: Lynn HenningBuster OlneyTim BrownBob Brookover (2nd straight yr)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Voted last year but not this year:Phil Arvia, Dennis Brackin, John Canzano, Murray Chass, Ron Cook, Glen Crevier, Bill Dickens, Gerry Fraley, Ken Gurnick, Paul Hoynes, Jerry Izenberg, Mark Kiszla, Dan Le Batard (Deadspin), Wallace Matthews, Sean McAdam, Rick Morrissey, Bill Peterson, Angel M. Prada, Jim Reeves, John Romano, Richard F. Telander, David Wilhelm",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,# of Returned Ballots: 549,,,,,,Votes per Non-Public Ballot:,,,,7.95,7.95412844,,,,,"Lost vote (Light red=first-time voter)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Moises Alou,Rich Aurilia,Jeff Bagwell,Craig Biggio,Barry Bonds,Aaron Boone,Tony Clark,Roger Clemens,Carlos Delgado,Jermaine Dye,Darin Erstad,Cliff Floyd,"Nomar Garcia-parra",Brian Giles,Tom Gordon,Eddie Guardado,Randy Johnson,Jeff Kent,Edgar Martinez,Pedro Martinez,Don Mattingly,Fred McGriff,Mark McGwire,Jack Morris,Mike Mussina,Troy Percival,Mike Piazza,Tim Raines,Curt Schilling,Jason Schmidt,Gary Sheffield,Lee Smith,John Smoltz,Sammy Sosa,Alan Trammell,Larry Walker,Known Votes,"Will no longer reveal ballots:Bob Smizik, Patrick Reusse (?), Mike Downey, Gene Collier",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Voters who shared ballots, but aren't on BBWAA's list of received/counted ballots: Steve SerbyJohn Lopez",,,,,,,,,,,,,,,,,,,,,,,,,,
% on Public Ballots,,0.00%,60.73%,85.80%,39.27%,0.30%,0.00%,39.27%,2.11%,0.00%,0.00%,0.00%,2.42%,0.00%,0.30%,0.00%,99.09%,13.90%,27.49%,98.19%,6.65%,12.69%,9.37%,0.00%,30.21%,0.30%,75.23%,60.12%,45.62%,0.00%,10.27%,25.08%,87.92%,5.14%,25.08%,8.76%,"4,623.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Public Votes,0,0,201,284,130,1,0,130,7,0,0,0,8,0,1,0,328,46,91,325,22,42,31,0,100,1,249,199,151,0,34,83,291,17,83,29,218,Blank Ballot: 1 Anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projected Final % from Pre-results Ballots,,55.65%,77.43%,33.11%,,34.17%,,,N/A,,,,N/A,,N/A,25.58%,11.81%,11.52%,7.98%,67.94%,N/A,N/A,3.27%,65.29%,44.33%,,36.24%,,31.14%,,6.31%,N/A,,19.72%,13.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTUAL RESULTS:,,54.30%,55.7%,82.7%,36.8%,0.4%,0.0%,37.5%,3.8%,0.0%,0.2%,0.0%,5.5%,0.0%,0.4%,0.0%,97.3%,14.0%,27.0%,91.1%,9.1%,12.9%,10.0%,0.0%,24.6%,0.7%,69.9%,55.0%,39.2%,0.0%,11.7%,30.2%,82.9%,6.6%,25.1%,11.8%,2889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTUAL VOTES:,,310.,306,454,202,2,,206,21,,1,,30,,2,,534,77,148,500,50,71,55,,135,4,384,302,215,,64,166,455,36,138,65,,Repoz's Gizmo!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Public Ballots Pre-Results,,0.00%,61.9%,84.2%,44.1%,0.0%,0.0%,43.6%,1.5%,0.0%,0.0%,0.0%,2.0%,0.0%,0.0%,0.0%,98.5%,13.9%,30.2%,98.0%,5.5%,13.9%,7.9%,0.0%,35.6%,0.5%,76.2%,64.9%,51.2%,0.0%,9.9%,20.8%,87.1%,5.0%,24.3%,7.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'Straight Arrow' Tango Score (-100 to 100),'Voter versus Voters' Tango Score (0 to 100) Revised,,,,,,,,,,,,,,,,,,,,,,,,,
% Public Ballots Post-Results,,#DIV/0!,57.7%,87.7%,33.1%,0.8%,0.0%,33.1%,3.1%,0.0%,0.0%,0.0%,3.1%,0.0%,0.8%,0.0%,100.0%,13.1%,23.8%,98.5%,7.7%,10.8%,11.5%,0.0%,21.5%,0.0%,73.1%,52.3%,36.2%,0.0%,10.8%,31.5%,89.2%,5.4%,26.9%,10.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Private Ballots,,129.19%,48.2%,78.0%,33.0%,0.5%,0.0%,34.9%,6.4%,0.0%,0.5%,0.0%,10.1%,0.0%,0.5%,0.0%,94.5%,14.2%,26.1%,80.3%,12.8%,13.3%,11.0%,0.0%,16.1%,1.4%,61.9%,47.2%,29.4%,0.0%,13.8%,38.1%,75.2%,8.7%,25.2%,16.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private vs Public Differential,,,-12.6%,-7.8%,-6.2%,0.2%,0.0%,-4.4%,4.3%,0.0%,0.5%,0.0%,7.7%,0.0%,0.2%,0.0%,-4.6%,0.3%,-1.3%,-17.9%,6.2%,0.6%,1.6%,0.0%,-14.2%,1.1%,-13.3%,-12.9%,-16.3%,0.0%,3.5%,13.0%,-12.7%,3.6%,0.2%,7.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,310.053,306,454,202,2,0,206,21,0,1,0,30,0,2,0,534,77,148,500,50,71,55,0,135,4,384,302,215,0,64,166,455,36,138,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
