"Follow @NotMrTibbs",,"Public Ballots:",,192,,,Plus,7,,"% of Ballots Known:",,45.7%,,,Votes per Revealed Ballot:,,,8.66,"1,723.00",,,,,,,,,,,,,,,,"_Click toExpand/Retract",LEGEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Anonymous Ballots",,,"Estimated Ballots Cast: 435Estimated Votes Needed for 75%: 327",,,,,Votes per Non-Public Ballot:,,,7.06,7.06,,,,,,,,,,,,,,,,,First Time on Ballot,,"Gained Vote - Voter did not vote for player last year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Last Updated:1/13/17 @ 2:15 PM PST","Jeff Bagwell(7th)","Barry Bonds(5th)","Roger Clemens(5th)",Vlad Guerrero (1st),"Trevor Hoffman(2nd)","Jeff Kent(4th)","Edgar Martinez(8th)","Fred McGriff(8th)","Mike Mussina(4th)","Jorge Posada(1st)","Tim Raines(10th)","Manny Ramirez(1st)","Ivan Rodriguez(1st)","Curt Schilling(5th)","Gary Sheffield(3rd)","Lee Smith(15th)","Sammy Sosa(5th)","Billy Wagner(2nd)","Larry Walker(7th)","Casey Blake(1st)","Pat Burrell(1st)","Orlando Cabrera(1st)","Mike Cameron(1st)","J.D. Drew(1st)","Carlos Guillen(1st)","Derrek Lee(1st)","Melvin Mora(1st)","Magglio Ordonez(1st)","Edgar Renteria(1st)","Arthur Rhodes(1st)","Freddy Sanchez(1st)","Matt Stairs(1st)","Jason Varitek(1st)","Tim Wakefield(1st)",Known Votes,Last Time On Ballot,,"Lost Vote - Voted for player last year but not this year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% on Public+Anonymous Ballots,91.0%,64.3%,63.8%,74.4%,73.4%,14.6%,66.8%,16.6%,60.8%,4.5%,91.5%,25.1%,79.9%,52.8%,12.1%,29.1%,9.5%,11.1%,23.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.5%,0.0%,0.0%,0.0%,0.5%,0.0%,"3,496.",Ballot Added Today,,"This page must be manually refreshed to view updates.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Public+Anonymous Votes,181,128,127,148,146,29,133,33,121,9,182,50,159,105,24,58,19,22,47,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,251,First-Time Voter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Needed on Remaining Ballots,61.9%,84.3%,84.7%,75.8%,76.7%,Elim,82.2%,Elim,87.3%,Elim,61.4%,Elim,71.2%,94.1%,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,,Highlight Row-F2-Enter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Votes Needed for >75%,146,199,200,179,181,298,194,294,206,318,145,277,168,222,303,269,308,305,280,327,327,327,327,327,327,327,327,327,326,327,327,327,326,327,,10-Player Ballots:,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Votes Needed for >5%,---,---,---,---,---,---,---,---,---,13,---,---,---,---,---,---,3,---,---,22,22,22,22,22,22,22,22,22,21,22,22,22,21,22,,9-Player Ballots:,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016 Actual Final %,71.6%,44.3%,45.2%,,67.3%,16.6%,43.4%,20.9%,43.0%,,69.8%,,,52.3%,11.6%,34.1%,7.0%,10.5%,15.5%,,,,,,,,,,,,,,,,,8-Player Ballots:,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016 Actual % vs Pre-Results %,-6.1%,-6.9%,-5.5%,,3.8%,-1.4%,-4.0%,1.9%,-7.2%,,-5.6%,,,-7.9%,0.2%,5.7%,-0.6%,1.5%,1.3%,,,,,,,,,,,,,,,,,7-Player Ballots:,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016 Private % vs Public %,-14.3%,-3.9%,-2.0%,,2.8%,-5.0%,-12.5%,5.3%,-18.4%,,-15.0%,,,-21.8%,-4.4%,8.4%,-0.2%,3.7%,-1.2%,,,,,,,,,,,,,,,,,6-Player Ballots:,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actual Final %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actual Votes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Public Ballots Pre-Results,0.0%,84.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,#REF!,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'Voter versus Voters' Tango Score (0 to 100),,,,,,,,,,,,,,,,,,,,,,,,,,
% Public Ballots Post-Results,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Private Ballots,-41.8%,-29.8%,-29.3%,-34.2%,-33.7%,-6.7%,-30.7%,-7.6%,-27.9%,-2.1%,-42.0%,-11.5%,-36.7%,-24.2%,-5.5%,-13.4%,-4.4%,-5.1%,-10.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-0.2%,0.0%,0.0%,0.0%,-0.2%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private vs Public Differential,-132.8%,-94.2%,-93.1%,-108.6%,-107.1%,-21.3%,-97.6%,-24.2%,-88.7%,-6.6%,-133.5%,-36.7%,-116.6%,-77.0%,-17.6%,-42.5%,-13.9%,-16.1%,-34.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-0.7%,0.0%,0.0%,0.0%,-0.7%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-181,-128,-127,-148,-146,-29,-133,-33,-121,-9,-182,-50,-159,-105,-24,-58,-19,-22,-47,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,433,429,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Results % 2015,77.70%,51.20%,50.70%,,63.50%,18.00%,47.40%,19.00%,50.20%,,75.40%,,,60.20%,11.40%,28.40%,7.60%,9.00%,14.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gained Votes from Returning Voters,16,21,22,,26,6,33,6,25,,25,,,13,7,6,6,9,13,,,,,,,,,,,,,,,,,5-Player Ballots:,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lost Votes from Returning Voters,0,-1,-1,,-8,-7,-1,-8,-8,,0,,,-23,-6,-2,-3,-4,-2,,,,,,,,,,,,,,,,,4-Player Ballots:,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net +/- Among Returning Voters,16,20,21,,18,-1,32,-2,17,,25,,,-10,1,4,3,5,11,,,,,,,,,,,,,,,,,3-Player Ballots:,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTIMATED Net Gain Needed for 75%**,12,134,130,,38,255,137,239,131,,20,,,98,277,186,298,278,257,,,,,,,,,,,,,,,,,2-Player Ballots:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% on Anonymous Ballots (7),85.7%,57.1%,57.1%,100.0%,85.7%,14.3%,42.9%,14.3%,42.9%,0.0%,57.1%,14.3%,57.1%,28.6%,0.0%,28.6%,14.3%,0.0%,42.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,1-Player Ballots:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Among First-Time Voters (12),100.0%,91.7%,91.7%,75.0%,58.3%,0.0%,75.0%,16.7%,75.0%,0.0%,100.0%,41.7%,100.0%,75.0%,8.3%,25.0%,8.3%,16.7%,41.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12,Blank Ballots:,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net +/- Returning Voters Post-Results,+4,+5,,,,,,,,,,,,,,,,,,,,,,+1,,+4,+6,+4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% 1st-Time Voters Post-Results,50.0%,100.0%,75.0%,,,75.0%,,,,,,,,,,,,,,,,,,50.0%,,100.0%,75.0%,25.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Voted Last Year, No Ballot This Year",56.0%,76.0%,,,,,,,,,,,,,,,,,,,,,,36.0%,,56.0%,58.3%,36.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Pre-Announcement Ballots:",,,192,"Ballots Revealed Before HOF Election Results AnnouncedBallot tips appreciated: @NotMrTibbs or ryan@bbhoftracker.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,# Votes,Ballot Link,Date Added,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tango Score (0 to 100)",,,,,,,,,,,,,,,,,,,,,,,,,"If No 10-Player Limit, Would Have Also Voted For:",,
Peter Abraham,x,x,x,x,,,x,,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,,9,Boston Globe,1/5/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dave Albee,x,,,,x,x,x,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,6,Marin IJ,12/28/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Ammenheuser,x,x,x,x,x,,x,,x,,x,,x,,,x,,,,,,,,,,,,,,,,,,,10,Twitter,12/6/16,,0,0,0,0,0,0,#REF!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,"Schilling, Manny, Wagner",,
Mel Antonen,x,,,x,x,,x,,x,x,x,,x,,,x,,x,,,,,,,,,,,,,,,,,10,MLB Network Radio,12/28/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirby Arnold,x,,,x,x,,x,,x,,x,,x,,,x,,,x,,,,,,,,,,,,,,,,9,DM,12/12/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaime Aron,x,,,,x,,x,,x,,x,,x,x,,x,,,,,,,,,,,,,,,,,,,8,Email,12/27/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Assenheimer,x,,,x,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,5,DM,12/26/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Bahr,x,x,x,x,x,,x,,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,,10,Twitter,12/27/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Ballou,x,x,x,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,5,Telegram,12/10/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter Barzilai,x,x,x,x,,,x,,x,,x,,x,x,,,,,x,,,,,,,,,,,,,,,,10,Twitter,12/27/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Bass,x,,,x,x,x,x,,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,,9,Twitter,12/30/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Berardino ,x,,,,,,x,,x,,x,,x,x,,,,,x,,,,,,,,,,,,,,,,7,Midwest Swing Pod,1/10/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Blair (did not vote last yr) ,x,x,x,x,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,7,DM,1/11/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry Bloom,x,x,x,x,x,,,,x,x,x,,x,,,x,,,,,,,,,,,,,,,,,,,10,MLB Blog,11/30/16,,0,0,0,0,0,0,#REF!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,"Edgar, Walker",,
Earl Bloom,x,,,x,x,,x,x,,,x,x,x,,,x,,,x,,,,,,,,,,,,,,,,10,DM,11/29/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filip Bondy,x,x,x,x,x,,x,,,,x,x,x,,,x,,,,,,,,,,,,,,,,,,,10,Email ,12/1/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Booth,x,x,x,x,x,,x,,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,,10,Facebook,12/14/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walker,,
Scott Bordow,x,,,,x,,x,,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,,7,Facebook,12/30/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Borges,,x,x,x,,,,,,,,x,x,x,,,x,,,,,,,,,,,,,,,,,,7,New Haven Register,12/19/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter Botte,x,x,x,x,,x,x,x,,,x,,x,x,,,,,,,,,,,,,,,,,,,,,10,NY Daily News,12/23/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcos Breton,x,x,x,,x,,x,,x,,x,x,x,,,,x,,,,,,,,,,,,,,,,,,10,Twitter,12/12/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larry Brooks,x,x,x,,,,x,,x,,x,,x,,x,,,,x,,,,,,,,,,,,,,,,9,Twitter,12/15/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garry Brown,x,x,x,,x,,x,x,x,,x,x,,x,,,,,,,,,,,,,,,,,,,,,10,Email ,12/3/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Buckley,x,x,x,x,x,,x,,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,,10,Boston Herald,12/23/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don Burke,x,,,x,x,x,x,,,,x,,x,,,,,x,,,,,,,,,,,,,,,,,8,Facebook,1/4/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
