voter,year,timestamp,player,value
Bill Conlin,2009,0,Harold Baines,0
Bob Hille,2009,0,Harold Baines,0
Bob Ryan,2009,0,Harold Baines,0
Bob Verdi,2009,0,Harold Baines,0
Brendan Roberts,2009,0,Harold Baines,0
Bruce Jenkins,2009,0,Harold Baines,0
Buster Olney,2009,0,Harold Baines,0
Carl Steward,2009,0,Harold Baines,0
Carter Gaddis,2009,0,Harold Baines,0
Chris Elsburry,2009,0,Harold Baines,0
Corky Simpson,2009,0,Harold Baines,0
Dan Graziano,2009,0,Harold Baines,0
Dan McGrath,2009,0,Harold Baines,0
Dave Kindred,2009,0,Harold Baines,0
Dave Van Dyck,2009,0,Harold Baines,0
Filip Bondy,2009,0,Harold Baines,0
Fred Mitchell,2009,0,Harold Baines,0
Garry Brown,2009,0,Harold Baines,0
Hal McCoy,2009,0,Harold Baines,0
Howard Bryant,2009,0,Harold Baines,0
Jack McCaffery,2009,0,Harold Baines,0
Jayson Stark,2009,0,Harold Baines,0
Jeff Jacobs,2009,0,Harold Baines,0
Jerry Crasnick,2009,0,Harold Baines,0
Jim Caple,2009,0,Harold Baines,0
Jim Capozzi,2009,0,Harold Baines,0
Jim Hawkins,2009,0,Harold Baines,0
Jim Salisbury,2009,0,Harold Baines,0
Joe Henderson,2009,0,Harold Baines,0
Joe Posnanski,2009,0,Harold Baines,0
John Perrotto,2009,0,Harold Baines,1
Jose de Jesus Ortiz,2009,0,Harold Baines,0
Ken Davidoff,2009,0,Harold Baines,0
Ken Rosenthal,2009,0,Harold Baines,0
Marc Topkin,2009,0,Harold Baines,0
Mark Gonzales,2009,0,Harold Baines,0
Michael Knisley,2009,0,Harold Baines,0
Mike Nadel,2009,0,Harold Baines,0
Murray Chass,2009,0,Harold Baines,0
Paul Sullivan,2009,0,Harold Baines,1
Pedro Gomez,2009,0,Harold Baines,0
Peter Gammons,2009,0,Harold Baines,0
Phil Arvia,2009,0,Harold Baines,0
Phil Hersh,2009,0,Harold Baines,0
Phil Pepe,2009,0,Harold Baines,0
Phil Rogers,2009,0,Harold Baines,1
Pierre Ladouceur,2009,0,Harold Baines,0
Richard Griffen,2009,0,Harold Baines,0
Rick Telander,2009,0,Harold Baines,0
Scott Miller,2009,0,Harold Baines,0
Sean Hogan,2009,0,Harold Baines,0
Steve Aschburner,2009,0,Harold Baines,0
Steve Buckley,2009,0,Harold Baines,0
Steve Wilmoth,2009,0,Harold Baines,0
TJ Quinn,2009,0,Harold Baines,0
TR Sullivan,2009,0,Harold Baines,0
Teddy Greenstein,2009,0,Harold Baines,0
Tim Cowlishaw,2009,0,Harold Baines,0
Tim Kurkjian,2009,0,Harold Baines,0
Tracy Ringolsby,2009,0,Harold Baines,0
Bill Conlin,2009,0,Jack Morris,1
Bob Hille,2009,0,Jack Morris,0
Bob Ryan,2009,0,Jack Morris,1
Bob Verdi,2009,0,Jack Morris,1
Brendan Roberts,2009,0,Jack Morris,0
Bruce Jenkins,2009,0,Jack Morris,1
Buster Olney,2009,0,Jack Morris,1
Carl Steward,2009,0,Jack Morris,1
Carter Gaddis,2009,0,Jack Morris,0
Chris Elsburry,2009,0,Jack Morris,1
Corky Simpson,2009,0,Jack Morris,0
Dan Graziano,2009,0,Jack Morris,1
Dan McGrath,2009,0,Jack Morris,1
Dave Kindred,2009,0,Jack Morris,0
Dave Van Dyck,2009,0,Jack Morris,0
Filip Bondy,2009,0,Jack Morris,0
Fred Mitchell,2009,0,Jack Morris,1
Garry Brown,2009,0,Jack Morris,1
Hal McCoy,2009,0,Jack Morris,0
Howard Bryant,2009,0,Jack Morris,0
Jack McCaffery,2009,0,Jack Morris,1
Jayson Stark,2009,0,Jack Morris,1
Jeff Jacobs,2009,0,Jack Morris,0
Jerry Crasnick,2009,0,Jack Morris,1
Jim Caple,2009,0,Jack Morris,1
Jim Capozzi,2009,0,Jack Morris,0
Jim Hawkins,2009,0,Jack Morris,0
Jim Salisbury,2009,0,Jack Morris,1
Joe Henderson,2009,0,Jack Morris,1
Joe Posnanski,2009,0,Jack Morris,0
John Perrotto,2009,0,Jack Morris,0
Jose de Jesus Ortiz,2009,0,Jack Morris,0
Ken Davidoff,2009,0,Jack Morris,0
Ken Rosenthal,2009,0,Jack Morris,0
Marc Topkin,2009,0,Jack Morris,0
Mark Gonzales,2009,0,Jack Morris,0
Michael Knisley,2009,0,Jack Morris,0
