voter,player,vote16,vote17,weight
Adam Rubin,Barry Bonds,1,1,0.0072370316007828494
Alan Greenwood,Barry Bonds,1,1,0.004672417320469544
Andrew Call,Barry Bonds,0,0,0.0035998292179530065
Anonymous,Barry Bonds,1,1,0.0096000697991137935
Arnie Stapleton,Barry Bonds,0,0,0.0052676382147090793
Art Davidson,Barry Bonds,0,0,0.0088342959134128356
Art Martone,Barry Bonds,0,1,0.0037143251788645882
Aurelio Moreno,Barry Bonds,1,1,0.0030967313927444799
Barry Bloom,Barry Bonds,1,1,0.0059310235050626979
Barry Rozner,Barry Bonds,1,1,-0.0046444856660338785
Bernie Lincicome,Barry Bonds,1,1,0.0030182227276559911
Bernie Wilson,Barry Bonds,0,1,0.0053323292033630142
Bill Ballou,Barry Bonds,1,1,0.0073738865214243565
Bob Herzog,Barry Bonds,1,1,0.0051644689720433817
Bob Hohler,Barry Bonds,0,0,0.0048664741556267979
Bob Klapisch,Barry Bonds,1,1,0.0028071576179095246
Bob Nightengale,Barry Bonds,1,1,0.0013567584640160773
Bob Padecky,Barry Bonds,0,0,0.0082771591958065941
Bob Ryan,Barry Bonds,0,0,0.0031008184482013276
Brendan Roberts,Barry Bonds,1,1,0.0028658680398311576
Brian Costello,Barry Bonds,1,1,0.00067355021542794878
Bruce Jenkins,Barry Bonds,1,1,0.0064762039119606752
Bruce Miles,Barry Bonds,0,1,0.0052676382147090793
C Trent Rosecrans,Barry Bonds,1,1,0.0041359175218197639
Carl Steward,Barry Bonds,1,1,0.0072370316007828494
Carlos Frias,Barry Bonds,1,1,0.0018102882119036164
Chris Assenheimer,Barry Bonds,0,0,0.01294337710917298
Chris Bahr,Barry Bonds,0,1,0.0052676382147090793
Chris DeLuca,Barry Bonds,1,1,0.0068572055615057316
Claire Smith,Barry Bonds,1,1,0.013741333674985898
Dan Gelston,Barry Bonds,1,1,0.0055692226040269079
Dan Shaughnessy,Barry Bonds,0,0,0.0097861425303146423
Danny Knobler,Barry Bonds,1,1,0.0075735640004615289
Dave Albee,Barry Bonds,0,0,0.0072191990325109487
Dave Campbell,Barry Bonds,1,1,0.0091729335114771222
Dave Krieger,Barry Bonds,0,0,0.0012419234695226118
Dave Perkins,Barry Bonds,1,1,0.0063609462467930505
Dave Reynolds,Barry Bonds,0,0,0.0058252571083359517
David Ammenheuser,Barry Bonds,1,1,0.0028071576179095246
David Borges,Barry Bonds,1,1,0.0077428488496346873
David Lariviere,Barry Bonds,0,0,0.008512124243541544
David Lennon,Barry Bonds,1,1,0.0028071576179095246
David Maril,Barry Bonds,1,1,0.0064368407539145637
Dejan Kovacevic,Barry Bonds,0,0,0.0055540813212626022
Derrick Goold,Barry Bonds,0,0,0.0048897480736266232
Don Burke,Barry Bonds,0,0,0.0062226524567335776
Doug Padilla,Barry Bonds,1,1,0.0028071576179095246
Drew Olson,Barry Bonds,1,1,0.0034644828047165738
Earl Bloom,Barry Bonds,0,0,-0.0058570430125891278
Ed Hilt,Barry Bonds,0,0,0.0099583237599729785
Evan Grant,Barry Bonds,0,1,0.0036619441841891443
Filip Bondy,Barry Bonds,1,1,0.004833663416561983
Gabe Lacques,Barry Bonds,1,1,0.0034007288083196334
Garry Brown,Barry Bonds,0,1,0.0053653476283077404
Garry D Howard,Barry Bonds,1,1,0.0057138161696883598
Gene Myers,Barry Bonds,0,1,0.0067783638035730162
George Willis,Barry Bonds,1,0,0.0086847324118361994
Gil LeBreton,Barry Bonds,1,1,0.0058393209659383227
Gordon Wittenmyer,Barry Bonds,0,0,0.0090369689389063444
Greg Cote,Barry Bonds,1,1,0.0048919949221864758
Ian OConnor,Barry Bonds,1,1,0.0066384168358974193
Jack Curry,Barry Bonds,0,0,0.0043298370598917656
Jack Magruder,Barry Bonds,1,1,0.0060908478848828622
Jack McCaffery,Barry Bonds,1,1,0.008771597156268884
Jay Dunn,Barry Bonds,0,0,0.013162869984013805
Jay Greenberg,Barry Bonds,0,0,0.0073032549869603757
Jeff Fletcher,Barry Bonds,1,1,0.0032768980412697457
Jeff Jacobs,Barry Bonds,0,1,0.0038699275798643306
Jeff Passan,Barry Bonds,1,1,0.0030772559798198113
Jeff Peek,Barry Bonds,0,0,0.0052676382147090793
Jeff Schultz,Barry Bonds,0,0,0.016006821339567798
Jeff Vorva,Barry Bonds,0,0,0.010275066631464165
Jeffrey Flanagan,Barry Bonds,1,1,0.0046450008541141291
Jerry Crasnick,Barry Bonds,1,1,0.0028071576179095246
Jim Molony,Barry Bonds,0,0,0.010097861310031073
Jim Street,Barry Bonds,0,0,0.0082000602705176433
Joe Henderson,Barry Bonds,1,1,0.0051024573684952312
John Canzano,Barry Bonds,1,1,0.0052045752911967095
John Delcos,Barry Bonds,0,0,0.0081928053496190083
John Fay,Barry Bonds,0,1,0.0036619441841891443
John Harper,Barry Bonds,0,0,0.0040740188214901637
John Tomase,Barry Bonds,1,1,0.0020608069089945659
Jon Heyman,Barry Bonds,1,1,-0.0034240896829096203
Jon Morosi,Barry Bonds,1,1,0.0033513433600844472
Jorge Ebro,Barry Bonds,0,0,0.0088342959134128356
Jose de Jesus Ortiz,Barry Bonds,1,1,0.011159041114176796
Josh Dubow,Barry Bonds,1,1,0.0019103523343522453
Juan Vene,Barry Bonds,0,0,0.015778089751383936
Karen Guregian,Barry Bonds,0,0,0.0054423635429859544
Ken Rosenthal,Barry Bonds,1,1,0.0028071576179095246
Kevin Cooney,Barry Bonds,0,1,0.010627642650261193
Kevin Kernan,Barry Bonds,0,1,0.0090726503798960727
Kirby Arnold,Barry Bonds,0,0,0.0052676382147090793
Larry Brooks,Barry Bonds,1,1,0.0031359664017261068
Larry Stone,Barry Bonds,1,1,0.0019103523343522453
Marc Lancaster,Barry Bonds,1,1,0.0034057723827949685
Marc Topkin,Barry Bonds,1,1,0.0085471348999959958
Marcos Breton,Barry Bonds,1,1,0.0019103523343522453
Mark Faller,Barry Bonds,0,0,0.0038699275798643306
Mark Hale,Barry Bonds,1,1,0.0041523112206729761
Mark Herrmann,Barry Bonds,0,0,0.013213475471070118
Mark Kreidler,Barry Bonds,0,0,0.011142458128491604
Mark Newman,Barry Bonds,1,1,0.012150705509130475
Mark Saxon,Barry Bonds,1,1,0.0066966257943634911
Mel Antonen,Barry Bonds,0,0,0.0070259017041512445
Michael Silverman,Barry Bonds,1,1,0.0021394198259628082
Mike Bass,Barry Bonds,0,0,0.006010515126482957
Mike Berardino,Barry Bonds,0,0,0.0039320425460867012
Mike Lefkow,Barry Bonds,1,1,0.0083234039208205136
Mike Nadel,Barry Bonds,0,1,0.0046572760377052149
Mike Peticca,Barry Bonds,0,0,0.0077948147520589288
Mike Puma,Barry Bonds,1,1,0.012420803871026077
Mike Shalin,Barry Bonds,1,1,0.007407388670474112
Mike Vaccaro,Barry Bonds,1,1,0.0028071576179095246
Murray Chass,Barry Bonds,0,0,0.013425447885110886
Nick Cafardo,Barry Bonds,1,1,0.0035242710256384005
