voter,Jeff Bagwell ,Vinny Castilla,Juan Gonzalez ,Barry Larkin ,Edgar Martinez ,Don Mattingly ,Fred McGriff ,Mark McGwire ,Jack Morris ,Bill Mueller,Dale Murphy ,Rafael Palmeiro ,Tim Raines ,Lee Smith ,Alan Trammell ,Larry Walker ,Bernie Williams ,Total Votes on Ballot,Ballot URL
actual,56,1,4,86.4,36.5,17.8,23.9,19.5,66.7,0.7,14.5,12.6,48.7,50.6,36.8,22.9,9.6,,
Pete Abraham,1,,,1,,,,,,,,,1,,1,,,4,http://bo.st/aFkXns
Mel Antonen,,,,1,1,,,,1,,,,1,,1,,,5,http://bit.ly/sFd7vQ 
Phil Arvia,1,,,1,1,,,,1,,,,1,1,1,,,7,http://bit.ly/rqYHOe
Geoff Baker,1,,,1,,,,,,,,,1,,,,,3,http://bit.ly/xAFe5q
Andrew Baggerly,1,,,1,1,,,,,,,,1,,,1,,5,http://bit.ly/sjT58f
Mike Bass,1,,,1,1,,,,1,,,,,,,,,4,http://bit.ly/xcbwj9
Michael Bauman,1,,,1,,,,,,,,,,,,,,2,http://atmlb.com/zitS6W
Jon Becker,1,,,1,1,,,,,,,,1,,1,1,,6,http://bit.ly/AbBXid
Mike Berardino,1,,,1,1,,1,,,,,,1,,1,1,,7,http://sunsent.nl/xOQjiT
Barry M. Bloom,,,,1,1,,1,1,1,,,1,1,1,1,,,9,http://bit.ly/sI4kPe 
Hal Bodley,,,,1,,,,,1,,,,,,,,,2,http://atmlb.com/zitS6W
Peter Botte,1,,,1,,,,,1,,,,1,,,,,4,http://bit.ly/sdbjEu 
Howard Brayant,,,,1,,,,,,,,,,,,,,1,http://es.pn/wIBqt9
Bob Brookover,,,,1,,,1,,,,,,,1,1,,,4,http://bit.ly/rGcXUa
Garry Brown,,,,1,,,,,1,,,,1,,,,,3,http://bit.ly/rU83tY
Steve Buckley,1,,,1,1,,1,,1,,,,,,,,,5,http://bit.ly/sGOfLH
Pete Caldera,1,,,1,,,,,1,,,1,,,,,,4,http://bit.ly/x9odL7
Jim Caple,1,,,1,1,,1,1,1,,,,1,,1,1,1,10,http://es.pn/wIBqt9
Rick Carpinello,,,,,,1,,,,,,,,,,,,1,http://bit.ly/AC9PWn
