,Moises Alou,Rich Aurilia,Jeff Bagwell,Craig Biggio,Barry Bonds,Aaron Boone,Tony Clark,Roger Clemens,Carlos Delgado,Jermaine Dye,Darin Erstad,Cliff Floyd,Nomar Garciaparra,Brian Giles,Tom Gordon,Eddie Guardado,Randy Johnson,Jeff Kent,Edgar Martinez,Pedro Martinez,Don Mattingly,Fred McGriff,Mark McGwire,Jack Morris,Mike Mussina,Troy Percival,Mike Piazza,Tim Raines,Curt Schilling,Jason Schmidt,Gary Sheffield,Lee Smith,John Smoltz,Sammy Sosa,Alan Trammell,Larry Walker,Known Votes,http://www.baseballthinkfactory.org/newsstand/discussion/the_2015_hof_ballot_collecting_gizmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseballot,0,0,61.1,81.5,35.9,0,0,37.6,0.5,0,0,0,0.7,0,0,0,95.2,13.6,31.8,94.2,10.2,15.4,7.2,0,28.7,0,71.9,55.7,47,0,6.5,27.7,83,4.4,22.5,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
tango_model,0,0,54,79,35,0,0,35,2,0,0,0,2,0,0,0,96,13,26,96,5,15,6,0,33,0,68,61,48,0,8,20,84,4,23,6,,,,,,,,,,,,,,,,,,,0,0,
actual,0,0,55.7,82.7,36.8,0,0,37.5,3.8,0,0,0,5.5,0,0,0,97.3,14,27,91.1,9.1,12.9,10,0,24.6,0,69.9,55,39.2,0,11.7,30.2,82.9,6.6,25.1,11.8,,,,,,,,0,0,
StraightArrow,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,
Peter Abraham,,,1,,1,,,1,,,,,,,,,1,,,1,,,,,1,,1,1,1,,,,1,,,,10,http://bit.ly/1B2EN9k,12/23/2014,,13,13,13,13,9,9,9,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,Boston,
Eduardo Almada,,,,1,,,,,,,,,,,,,1,,,1,,,,,1,,,1,1,,,,1,,,,7,Via email,1/4/2015,,0,0,13,13,0,0,9,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,-9,54,Arizona,
Dave Ammenheuser,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,1,,,,1,,,,5,http://tnne.ws/1t61Vzr,12/26/2014,,0,0,13,13,0,0,9,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,-25,24,Los Angeles,
Mel Antonen,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,1,,1,1,,,,,1,,1,,10,http://bit.ly/1vsXuPV,12/25/2014,,0,0,13,13,9,9,9,7,0,7,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,Baltimore,
Chris Bahr,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,,,1,1,1,,,1,1,,,,10,http://bit.ly/12PzHSA,12/14/2014,,0,0,13,13,9,9,9,0,7,0,7,7,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,Atlanta,
Bill Ballou,,,1,,1,,,1,,,,,,,,,1,,,1,,,1,,,,1,,,,,,1,,,,8,http://bit.ly/1z9OaoZ,12/6/2014,,13,13,13,13,9,9,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,77,Boston,
Mike Bass,,,1,1,,,,,,,,,,,,,1,1,1,1,,,,,1,,1,,1,,,,1,,,,10,http://on.fb.me/1wZD7hK,12/29/2014,,0,0,13,13,9,9,0,0,7,7,7,7,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,Minneapolis,
Mike Bauman,,,1,1,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,1,1,,,,7,http://atmlb.com/13UqbxC,1/5/2015,,0,0,13,13,9,9,0,0,0,0,7,7,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,-9,50,Honorary,
Mike Berardino (!),,,1,1,,,,,,,,,,,,,,,1,,,,,,1,,1,1,1,,,,1,,1,1,10,http://bit.ly/1zquQ3h / http://bit.ly/1ApcWkx,12/28/2014,,0,0,0,0,9,9,9,7,7,7,7,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,Minneapolis,
Jeff Blair,,,1,1,1,,,1,1,,,,,,,,1,,,1,,,,,,,1,1,,,,,1,,,,10,http://bit.ly/1Igv6Xr,1/5/2015,,13,13,13,13,9,9,9,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,Toronto,
Barry Bloom,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,1,,1,,1,,,,1,,,,10,http://bit.ly/1APHlr2,12/19/2014,,13,13,13,13,9,9,0,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,Bay Area,
Hal Bodley,,,,1,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,1,,,,5,http://atmlb.com/13UqbxC,1/5/2015,,0,0,13,13,0,0,0,0,0,0,7,7,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,-25,18,Honorary,
David Borges,,,,,1,,,1,,,,,,,,,1,,,1,,,1,,,,1,,1,,,,1,,,,8,http://bit.ly/1yB7Kqf,12/10/2014,,13,13,13,13,9,0,0,0,7,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,75,Boston,
Peter Botte,,,1,,,,,,,,,,,,,,1,1,1,1,,1,,,,,1,1,1,,,,1,,,,10,http://bit.ly/1E2wLD8,12/22/2014,,0,0,13,13,9,9,9,0,7,0,7,0,0,4,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,New York,
Marcos Breton,,,1,1,1,,,1,,,,,,,,,1,,1,1,,,,,,,1,1,1,,,,,,,,10,http://bit.ly/1ByP0dV,1/4/2015,,13,13,13,13,9,9,9,0,7,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,Bay Area,
Garry Brown,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,,,1,1,,,,,,,,,7,"http://bit.ly/1vI19Nhttp://bit.ly/16YLeRS",12/2/2014,,0,0,13,13,9,9,9,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,-9,55,Boston,
Howard Bryant,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,3,http://es.pn/1rU0d92,1/4/2015,,0,0,13,13,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,-49,-14,ESPN,
Steve Buckley,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,1,,1,1,1,,,,1,,,,10,http://bit.ly/16MJmvy,12/22/2014,,0,0,13,13,9,9,9,0,7,7,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,Boston,
